iatiidentifier,donor,x1_donor_type,modality,recipient_main,complete_flag,y1_gap_full,y2_early_days,commitment_usd_full,s1_share,s2_hhi_net,s3_n_donors,n_years_obs,withheld
DE-1-201266287,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A02_sector,PE,1,0,0,17091000,0.051359606214530985,0.8999185967214498,2,1,0
46002-P-SD-KF0-006,African Development Bank,Multilateral,A01_general,SD,1,0.5012210829387218,0,391513866.3723019,0.1303805461146559,0.756237994575844,2,1,1
46002-P-SD-K00-007,African Development Bank,Multilateral,A01_general,SD,1,0.962936938,0,27122064.2060626,0.1303805461146559,0.756237994575844,2,1,1
46002-P-SD-AAB-005,African Development Bank,Multilateral,A02_sector,SD,1,0,-195,76999540.28101172,1,NA,1,1,0
46002-P-SZ-K00-005,African Development Bank,Multilateral,A01_general,SZ,1,-0.02012923081909079,-115,35679102.21899169,0.5086883632539516,0.241387124402081,2,1,0
46002-P-SZ-AA0-013,African Development Bank,Multilateral,A01_general,SZ,1,-0.04065893940085474,-546,39643446.91601789,0.5086883632539516,0.241387124402081,2,1,0
46002-P-TG-KA0-002,African Development Bank,Multilateral,A01_general,TG,1,0,184,12923663.594188828,0.24551805693850962,0.569243002405842,2,1,0
46002-P-TG-KZ0-002,African Development Bank,Multilateral,both,TG,1,0,0,27122064.206062596,0.26998993558131995,0.5329146941525653,2,1,0
46002-P-TG-AA0-015,African Development Bank,Multilateral,A01_general,TG,1,0,190,5424412.841212519,0.03588488844453356,0.9295179483296095,2,1,0
46002-P-TZ-K00-016,African Development Bank,Multilateral,A01_general,TZ,1,0,0,48819715.570912674,0.9593109885601443,0.006622382607810784,1.5,1,0
46002-P-TZ-AA0-025,African Development Bank,Multilateral,A02_sector,TZ,1,0,1155,91225062.957091555,0.9996323072144655,5.407919381195114e-7,1.5,1,0
46002-P-TZ-KA0-002,African Development Bank,Multilateral,A02_sector,TZ,1,0,0,67805160.5151565,0.9992646144289309,5.407919381195114e-7,2,1,0
46002-P-TZ-KA0-005,African Development Bank,Multilateral,A01_general,TZ,1,0,366,54244128.41212519,0.9198566368580937,0.006422958655695421,2,1,0
DE-1-201170315,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A01_general,RW,1,0,0,3418200,0.008232449984308415,0.3857504654267628,5,1,0
46002-P-TZ-K00-013,African Development Bank,Multilateral,both,TZ,1,0,275,52074945.04391741,0.18186413090012135,0.4359492417230302,6,1,0
46002-P-TZ-K00-014,African Development Bank,Multilateral,A01_general,TZ,1,0,762,67805160.5151565,0.23270100180961087,0.3882758396256012,5,1,0
46002-P-TZ-KA0-007,African Development Bank,Multilateral,A02_sector,TZ,1,0,0,54244128.41212519,1,NA,1,1,0
46002-P-TN-HZ0-005,African Development Bank,Multilateral,A01_general,TN,1,0.05208677367918069,366,138292034.05988824,0.9594457787084627,0.0016446448645629497,2,1,0
46002-P-TN-IAZ-003,African Development Bank,Multilateral,A01_general,TN,1,0.01284703330363945,0,140596901.29060343,0.11143667858478136,0.7962366982417954,2.5,1,0
46002-P-TN-IAZ-002,African Development Bank,Multilateral,A01_general,TN,1,0.08508482766664616,0,207918653.03692535,1,NA,1,1,0
DE-1-201265115,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A01_general,TZ,1,0,0,20509200,0.023461888692316035,0.4418751356477871,5,1,0
DE-1-201270040,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A01_general,TZ,1,0,0,2278800,0.002387512734650139,0.46901810361402857,6,1,0
46002-P-TN-IZ0-008,African Development Bank,Multilateral,A02_sector,TN,1,0.07536425924229928,465,211383963.9168058,0.28200355591623033,0.5155188937169378,2,1,0
46002-P-TN-HZ0-002,African Development Bank,Multilateral,A01_general,TN,1,0.06054751429028549,0,308852209.3904723,1,NA,1,1,0
46002-P-TN-I00-012,African Development Bank,Multilateral,A01_general,TN,1,0.03305427491585333,0,210078470.36982292,0.5131633252783055,0.23700994785407703,2,1,0
46002-P-TN-K00-018,African Development Bank,Multilateral,A02_sector,TN,1,0.04606467092542687,-55,68762680.83975336,1,NA,1,1,0
46002-P-UG-K00-009,African Development Bank,Multilateral,A01_general,UG,1,0,-119,31190373.836971987,1,NA,1,1,0
DE-1-201070259,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A02_sector,UG,1,0,0,2278800,0.5157783024580053,0.9380319621347041,1.5,1,0
46002-P-UG-E00-012,African Development Bank,Multilateral,A02_sector,UG,1,0,181,89231590.13950235,0.8327367064901621,0.2955892259700899,1.5,1,0
DE-1-201165828,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A01_general,ZM,1,0,0,21078900,0.12348168575872975,0.4909769140920767,3,1,0
XM-DAC-6-4-011005-01-3,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,BF,1,0,-880,3957819.84,0.05531706631438862,0.7503138040963091,2.6666666666666665,1,0
XM-DAC-6-4-010877-02-0,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,BF,1,0,-852,568871.6562000001,0.004475853962765945,0.6213903849330099,4,1,0
XM-DAC-6-4-010888-01-0,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,BO,1,0.3697683428571429,NA,398790,1,NA,1,1,1
XM-DAC-6-4-010152-01-5,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,EC,1,0,NA,1156739.3892,0.5004687429128082,0.8612087731779002,2,1,0
XM-DAC-6-4-009659-01-6,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,EG,1,0,-1695,1557215.7012,0.5036960343942555,0.985270505103952,1.5,1,0
XM-DAC-6-4-011835-01-4,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,ET,1,0,NA,5640030,0.5019780378342776,0.6601359960476875,2,1,0
XM-DAC-6-4-010081-01-3,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,ET,1,0,-740,7975800,0.20676711096502423,0.587717092658731,2.6666666666666665,1,0
XM-DAC-6-4-010718-02-4,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,ET,1,0,-2938,1595160,0.30439632415071394,0.5586169405941649,2.5,1,0
XM-DAC-6-4-010418-01-5,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,ET,1,-9.25142857144401e-6,-2618,3987900,0.20100632939292803,0.5075637624538192,2.6666666666666665,1,0
XM-DAC-6-4-010693-01-2,AICS - Italian Agency for Cooperation and Development,Bilateral,A01_general,ML,1,0,-2297,804838.057758,0.016273890223497952,0.3717336593677495,4,1,0
XM-DAC-6-4-010084-02-3,AICS - Italian Agency for Cooperation and Development,Bilateral,A01_general,ML,1,0,-2253,1083247.587864,0.016273890223497952,0.3717336593677495,4,1,0
XM-DAC-6-4-010496-02-1,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,LB,1,0,-2331,20800.749672,1,NA,1,1,0
XM-DAC-6-4-010680-01-4,AICS - Italian Agency for Cooperation and Development,Bilateral,A01_general,SL,1,0,-528,2219851.48887,0.15066426237813624,0.7213711952016754,2,1,0
XM-DAC-6-4-011068-01-3,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,SN,1,-0.3888888888888888,NA,2050920,0.008875202508692615,0.6969154026628019,3,1,0
XM-DAC-6-4-010733-01-5,AICS - Italian Agency for Cooperation and Development,Bilateral,A01_general,SN,1,0,-2273,3416870.37717,0.12746290128394477,0.7613209886358311,2,1,0
XM-DAC-6-4-010997-01-1,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,MZ,1,0,-803,683640,0.23052900312899366,0.5096427966090699,2.6666666666666665,1,0
XM-DAC-6-4-009147-01-4,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,MZ,1,0,1087,4557600,0.05112351714938125,0.5408855920976284,4.333333333333333,1,0
