iatiidentifier,donor_ref,donor,org_type,x1_donor_type,a01,a02,modality,declared_activity,declared_transaction,status_code,status_name,title
46002-P-GM-K00-011,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Gambia - Institutional Support for Economic and Financial Governance Phase III Project, FR: Gambie - Projet d’appui institutionnel à la gouvernance économique et financière - Phase III"
46002-P-GM-K00-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Gambia - Multi-country Covid-19 crisis response support programme (Liberia, Gambia and Sierra Leone), FR: Gambie - Programme d’appui multi-pays pour la riposte à la pandémie de maladie à coronavirus 2019 (Liberia, Gambie et Sierra Leone)"
46002-P-GM-KA0-009,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Gambia - Emergency  Budget Support (GEBS), FR: Gambie - Appui budgétaire d'urgence (GEBS)"
46002-P-GM-KA0-011,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Gambia - Public Financial Management and Economic Reform Program (PFM-ERP) - Phase I, FR: Gambie - Programme de gestion des finances publiques et de réforme économique (PFM-ERP) Phase I"
46002-P-GN-KA0-005,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Guinea - Economic and Financial Reform Support Programme - Phase II (PAREF II) , FR: Guinée - Programme d’appui aux réformes économiques et financières - Phase II (PAREF II)"
46002-P-GN-KA0-006,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Guinea - Economic and Financial Reform Support Programme (Phase Three), FR: Guinée - Programme d’appui aux réformes économiques et financières (Troisième phase)"
46002-P-GN-KZ0-002,XM-DAC-46002,African Development Bank,40,Multilateral,1,1,both,0,1,3,Finalisation,"EN: Guinea - Covid-19 Response Support Programme, FR: Guinée - Programme Multi-Pays d’appui à La Réponse à la Covid-19"
46002-P-GQ-K00-002,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: PROG. AJUST. STRUCT. 1991-1994 PHASE II, FR: Programme d'ajustement structurel de 1991 à 1994, phase 2"
46002-P-GW-A00-010,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Guinea-Bissau - Emergency Food Security Support Project (AEFPF), FR: Guinée-Bissau - Projet d’appui d’urgence à la sécurité alimentaire (AEFPF)"
46002-P-GW-IB0-005,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Guinea Bissau - Coronavirus Pandemic (COVID-19) Control Support Project - PALPC, FR: Guinée Bissau - Projet d'appui à la lutte contre la pandémie à Coronavirus (COVID-19) - PALPC"
46002-P-GW-KA0-008,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Guinea-Bissau - Emergency Economic and Financial Reform Support Programme , FR: Guinée Bissau - Programme d’urgence d’appui aux réformes économiques et financières"
46002-P-GW-KA0-009,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,"EN: Guinea Bissau -  Public Administration and Finance Reform Programme (PRAFP),  Phase I, FR: Guinée Bissau - Programme de réformes de l'administration et des finances publiques (PRAFP), phase I"
46002-P-KE-A00-002,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Kenya - African Emergency Food Production Facility (AEFPF-K), FR: Kenya - Facilité africaine de production alimentaire d'urgence (AEFPF-K)"
46002-P-KE-AA0-001,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Kenya - Agriculture Sector Adjustment Programme II, FR: Kenya - Programme d’Ajustement du Secteur Agricole II"
46002-P-KE-HB0-009,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,"EN: Kenya - Kenya Mortgage Refinance Company (KMRC), FR: Kenya - « Kenya Mortgage Refinance Company (KMRC)»"
46002-P-KE-IA0-005,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,"EN: Kenya - Integrated Mechanisms for Poverty Reduction and Sustainable Education (IMPRESED) Project, FR: Kenya - Projet de mécanismes intégrés pour la réduction de la pauvreté et l’éducation durable (IMPRESED)"
46002-P-KE-K00-004,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Kenya - Competitiveness and Economic Recovery Support Programme (CERSP), FR: Kenya - Appui à la compétitivité et à la relance économique (CERSP)"
46002-P-KE-K00-007,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Kenya - COVID-19 Emergency Response Support Program (ERSP), FR: Kenya - Programme d’urgence d’appui à la Riposte COVID-19 (PUARC)"
46002-P-KE-K00-010,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Kenya - Competitiveness and Economic Recovery Support Programme II (CERSP-II), FR: Kenya - Programme d'appui à la compétitivité et à la relance économique (CERSP-II)"
46002-P-KE-K00-012,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Kenya - Competitiveness and Economic Recovery Support Programme – Supplementary Financing, FR: Kenya - Programme d’appui à la compétitivité et à la relance économique – Financement supplémentaire"
46002-P-KE-K00-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,"EN: KENYA - Economic Inclusion and Green Recovery Support Programme (EIGRSP), Phase I, FR: KENYA - Programme de soutien à l'inclusion économique et à la relance verte (EIGRSP), phase I"
46002-P-KE-KA0-001,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Kenya - Industrial Sector Adjustment Loan, FR: Kenya - Prêt pour l'ajustement du secteur industriel"
46002-P-KE-KA0-002,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Kenya - Structural Adjustment Loan, FR: Kenya - Prêt à l'ajustement structurel"
46002-P-KE-KD0-004,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Kenya - Export Development Programme, FR: Kenya - Programme de développement des exportations"
46002-P-KM-K00-006,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Comoros - Energy Sector Reform Support Programme (PARSE), FR: Comores - Programme d’appui aux réformes du secteur de l’énergie (PARSE)"
46002-P-KM-K00-009,XM-DAC-46002,African Development Bank,40,Multilateral,1,1,both,0,1,3,Finalisation,"EN: Comoros - COVID-19 Crisis Response Budget Support Programme for the Union of the Comoros (PABRC), FR: Comores - Programme d’Appui Budgétaire en Réponse à la Crise de la COVID-19 pour l’Union des Comores (PABRC)"
46002-P-KM-K00-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,"EN: Comoros - Financial Governance and Energy Sector Support Programme (PAGFSE), FR: Comores - Programme d'appui à la gouvernance financière et au secteur de l’énergie (PAGFSE)"
