child_id,parent_id
XI-IATI-EC_INTPA-2023-PC-26888,XI-IATI-EC_INTPA-2022-ACT-61310
XI-IATI-EC_INTPA-2023-PC-20039,XI-IATI-EC_INTPA-2021-ACT-61086
XI-IATI-EC_INTPA-2023-PC-22492,XI-IATI-EC_INTPA-2021-ACT-61086
XI-IATI-EC_INTPA-2024-PC-37344,XI-IATI-EC_INTPA-2024-ACT-62358
XI-IATI-EC_INTPA-2022-PC-22100,XI-IATI-EC_INTPA-2021-ACT-61086
XI-IATI-EC_INTPA-2023-PC-19168,XI-IATI-EC_INTPA-2021-ACT-61086
XI-IATI-EC_INTPA-2023-PC-29022,XI-IATI-EC_INTPA-2021-ACT-61086
XI-IATI-EC_INTPA-2020-PCC-415584,XI-IATI-EC_INTPA-2016-ACT-D-38972-00
XI-IATI-EC_INTPA-2022-PC-16758,XI-IATI-EC_INTPA-2021-ACT-61086
XI-IATI-EC_INTPA-2022-PC-16925,XI-IATI-EC_INTPA-2021-ACT-61086
XI-IATI-EC_INTPA-2023-PC-20035,XI-IATI-EC_INTPA-2021-ACT-61086
XI-IATI-EC_INTPA-2023-PC-16929,XI-IATI-EC_INTPA-2021-ACT-61086
XI-IATI-EC_INTPA-2024-PC-45725,XI-IATI-EC_INTPA-2016-ACT-D-38320-00
XI-IATI-EC_INTPA-2026-PC-77174,XI-IATI-EC_INTPA-2016-ACT-D-38320-00
XI-IATI-EC_INTPA-2023-PC-20001,XI-IATI-EC_INTPA-2021-ACT-61086
XI-IATI-EC_INTPA-2017-PCC-389389,XI-IATI-EC_INTPA-2016-ACT-D-38972-00
XI-IATI-EC_INTPA-2025-PC-49770,XI-IATI-EC_INTPA-2022-ACT-61240
XI-IATI-EC_INTPA-2022-PC-19819,XI-IATI-EC_INTPA-2021-ACT-61090
XI-IATI-EC_INTPA-2018-PCC-397046,XI-IATI-EC_INTPA-2016-ACT-D-38107-00
XI-IATI-EC_INTPA-2017-PCC-385290,XI-IATI-EC_INTPA-2016-ACT-D-37486-02
