iatiidentifier,year,commitment_usd,disbursement_usd,n_disb_tx
XI-IATI-EC_INTPA-2021-PCC-428501,2021,22788000,0,0
XI-IATI-EC_INTPA-2023-ACT-61699,2023,38739600,0,0
XI-IATI-EC_INTPA-2022-ACT-61508,2022,22788000,0,0
XI-IATI-EC_INTPA-2022-ACT-61508,2023,27060750,0,0
XI-IATI-EC_INTPA-2023-PC-25147,2023,17091000,0,0
XI-IATI-EC_INTPA-2023-PC-25043,2023,765676.8,306270.72000000003,2
XI-IATI-EC_INTPA-2023-PC-25042,2023,4557600,1873663.382484,1
XI-IATI-EC_INTPA-2022-PC-20222,2022,15381900,0,0
XI-IATI-EC_INTPA-2023-PC-27590,2023,1595160,210158.547192,3
XI-IATI-EC_INTPA-2022-ACT-60987,2022,10596420,0,0
XI-IATI-EC_INTPA-2021-ACT-61078,2021,17091000,0,0
XI-IATI-EC_INTPA-2023-PC-27690,2023,1139400,0,0
XI-IATI-EC_INTPA-2023-PC-27689,2023,7975800,0,0
XI-IATI-EC_INTPA-2023-PC-18126,2023,1390068,278013.60000000003,1
XI-IATI-EC_INTPA-2020-ACT-D-42401-00,2020,51273000,0,0
XI-IATI-EC_INTPA-2022-PCC-436209,2022,210623.787,0,0
XI-IATI-EC_INTPA-2022-PCC-436209,2023,-210623.787,0,0
XI-IATI-EC_INTPA-2023-PC-25426,2023,25066800,4803681.766878,1
XI-IATI-EC_INTPA-2021-PC-1116,2021,640599.165,128119.833,1
XI-IATI-EC_INTPA-2017-ACT-D-40031-01,2018,4557600,0,0
XI-IATI-EC_INTPA-2017-ACT-D-40031-01,2017,109382400,0,0
XI-IATI-EC_INTPA-2017-ACT-D-40031-01,2020,2278800,0,0
XI-IATI-EC_INTPA-2017-ACT-D-40031-01,2019,56970000,0,0
XI-IATI-EC_INTPA-2022-ACT-D-44510-00,2022,22788000,0,0
XI-IATI-EC_INTPA-2022-PC-21486,2022,1139400,1002672,1
XI-IATI-EC_INTPA-2021-PC-7879,2021,177943.5162,71177.40648,1
XI-IATI-EC_INTPA-2019-PCC-408616,2022,1247870.8800000001,0,0
XI-IATI-EC_INTPA-2019-PCC-408616,2019,3174938.1,0,0
