iatiidentifier,country
XI-IATI-EC_INTPA-2023-PC-19387,KG
XI-IATI-EC_INTPA-2022-PC-15528,KG
XI-IATI-EC_INTPA-2025-PC-61997,KG
XI-IATI-EC_INTPA-2026-PC-75410,KG
XI-IATI-EC_INTPA-2016-PCC-375131,KG
XI-IATI-EC_INTPA-2026-PC-42830,KG
XI-IATI-EC_INTPA-2023-PC-25140,KG
XI-IATI-EC_INTPA-2017-ACT-D-38831-00,KH
XI-IATI-EC_INTPA-2017-ACT-D-39902-00,KH
XI-IATI-EC_INTPA-2023-ACT-61732,KH
XI-IATI-EC_INTPA-2018-ACT-D-40874-00,KH
XI-IATI-EC_INTPA-2019-ACT-D-41594-00,KH
XI-IATI-EC_INTPA-2022-ACT-60558,KH
XI-IATI-EC_INTPA-2024-PC-40050,KH
XI-IATI-EC_INTPA-2020-PCC-422215,KH
XI-IATI-EC_INTPA-2020-PCC-422462,KH
XI-IATI-EC_INTPA-2024-PC-25272,KH
XI-IATI-EC_INTPA-2022-PC-24289,KH
XI-IATI-EC_INTPA-2020-PCC-422494,LC
XI-IATI-EC_INTPA-2020-ACT-D-42802-00,KE
XI-IATI-EC_INTPA-2020-PCC-416217,KE
XI-IATI-EC_INTPA-2020-ACT-D-41871-00,LA
XI-IATI-EC_INTPA-2019-ACT-D-41123-00,LA
XI-IATI-EC_INTPA-2018-ACT-D-39985-00,LA
XI-IATI-EC_INTPA-2026-PC-53801,LA
XI-IATI-EC_INTPA-2022-ACT-60628,LA
XI-IATI-EC_INTPA-2023-PC-24294,LA
XI-IATI-EC_INTPA-2026-PC-81164,LA
XI-IATI-EC_INTPA-2022-PCC-421392,LA
XI-IATI-EC_INTPA-2016-ACT-D-38868-01,MH
XI-IATI-EC_INTPA-2018-PCC-397039,MH
XI-IATI-EC_INTPA-2021-ACT-62518,LR
XI-IATI-EC_INTPA-2025-PC-69397,LR
XI-IATI-EC_INTPA-2025-PC-36183,LR
XI-IATI-EC_INTPA-2026-PC-52678,LR
XI-IATI-EC_INTPA-2019-ACT-D-42187-00,MN
XI-IATI-EC_INTPA-2020-PCC-415725,MN
XI-IATI-EC_INTPA-2020-PCC-418930,MN
XI-IATI-EC_INTPA-2023-PC-27334,MN
XI-IATI-EC_INTPA-2021-PCC-425135,MM
XI-IATI-EC_INTPA-2019-ACT-D-39998-00,MM
XI-IATI-EC_INTPA-2026-PC-75966,MM
XI-IATI-EC_INTPA-2018-ACT-D-39665-00,MM
XI-IATI-EC_INTPA-2020-PCC-421284,MM
XI-IATI-EC_INTPA-2026-PC-76775,MM
XI-IATI-EC_INTPA-2015-ACT-D-38388-00,ML
XI-IATI-EC_INTPA-2016-ACT-D-38972-00,ML
XI-IATI-EC_INTPA-2020-PCC-415584,ML
XI-IATI-EC_INTPA-2017-PCC-389389,ML
XI-IATI-EC_INTPA-2020-ACT-D-42916-00,MU
XI-IATI-EC_INTPA-2022-PC-19577,MR
XI-IATI-EC_INTPA-2021-ACT-61069,MR
XI-IATI-EC_INTPA-2024-ACT-62693,MR
XI-IATI-EC_INTPA-2022-PC-18569,MR
XI-IATI-EC_INTPA-2024-PC-47768,MR
XI-IATI-EC_INTPA-2025-PC-53445,MR
XI-IATI-EC_INTPA-2022-ACT-61433,NC
XI-IATI-EC_INTPA-2023-PC-24210,NC
XI-IATI-EC_INTPA-2023-PC-26617,NA
XI-IATI-EC_INTPA-2022-ACT-61310,NA
XI-IATI-EC_INTPA-2023-PC-26888,NA
XI-IATI-EC_INTPA-2021-ACT-61086,NE
XI-IATI-EC_INTPA-2023-PC-20039,NE
XI-IATI-EC_INTPA-2023-PC-22492,NE
XI-IATI-EC_INTPA-2018-ACT-D-40839-01,NE
XI-IATI-EC_INTPA-2022-PC-22100,NE
XI-IATI-EC_INTPA-2023-PC-19168,NE
XI-IATI-EC_INTPA-2023-PC-29022,NE
XI-IATI-EC_INTPA-2022-ACT-D-44448-00,NE
XI-IATI-EC_INTPA-2016-ACT-D-38233-00,NE
XI-IATI-EC_INTPA-2016-ACT-D-38320-00,NE
XI-IATI-EC_INTPA-2022-PC-16758,NE
XI-IATI-EC_INTPA-2022-PC-16925,NE
XI-IATI-EC_INTPA-2023-PC-20035,NE
XI-IATI-EC_INTPA-2023-PC-16929,NE
XI-IATI-EC_INTPA-2024-PC-45725,NE
XI-IATI-EC_INTPA-2026-PC-77174,NE
XI-IATI-EC_INTPA-2023-PC-20001,NE
XI-IATI-EC_INTPA-2024-ACT-62358,MW
XI-IATI-EC_INTPA-2021-ACT-63421,MW
XI-IATI-EC_INTPA-2024-PC-37344,MW
XI-IATI-EC_INTPA-2022-ACT-61446,PF
XI-IATI-EC_INTPA-2023-PC-24213,PF
XI-IATI-EC_INTPA-2023-PC-25713,NP
XI-IATI-EC_INTPA-2016-ACT-D-38030-00,NP
XI-IATI-EC_INTPA-2021-ACT-61472,NP
XI-IATI-EC_INTPA-2024-PC-35983,NP
XI-IATI-EC_INTPA-2024-ACT-62209,NP
XI-IATI-EC_INTPA-2023-PC-32264,NP
XI-IATI-EC_INTPA-2023-PC-25701,NP
XI-IATI-EC_INTPA-2020-PCC-414217,NP
XI-IATI-EC_INTPA-2015-ACT-D-37956-00,PE
XI-IATI-EC_INTPA-2020-ACT-D-42950-01,PE
XI-IATI-EC_INTPA-2022-PCC-435740,PE
XI-IATI-EC_INTPA-2023-PC-26364,PM
XI-IATI-EC_INTPA-2024-PC-26389,PM
XI-IATI-EC_INTPA-2022-ACT-61423,PM
XI-IATI-EC_INTPA-2022-PCC-429800,PG
XI-IATI-EC_INTPA-2021-PCC-424359,PG
XI-IATI-EC_INTPA-2021-ACT-62771,PG
XI-IATI-EC_INTPA-2025-PC-72780,PG
XI-IATI-EC_INTPA-2026-PC-64428,PG
XI-IATI-EC_INTPA-2026-PC-75396,PG
XI-IATI-EC_INTPA-2020-ACT-D-40138-00,PY
XI-IATI-EC_INTPA-2021-PCC-421490,PY
XI-IATI-EC_INTPA-2021-PC-4857,PY
XI-IATI-EC_INTPA-2019-ACT-D-38918-00,PY
XI-IATI-EC_INTPA-2021-PCC-425265,PY
XI-IATI-EC_INTPA-2020-PCC-420650,PY
XI-IATI-EC_INTPA-2021-ACT-61104,SB
XI-IATI-EC_INTPA-2022-PC-18559,SB
XI-IATI-EC_INTPA-2021-ACT-63091,SB
XI-IATI-EC_INTPA-2023-PC-22049,SB
XI-IATI-EC_INTPA-2018-ACT-D-38945-00,SH
XI-IATI-EC_INTPA-2017-ACT-D-39288-00,PK
XI-IATI-EC_INTPA-2022-ACT-61240,RW
XI-IATI-EC_INTPA-2020-PCC-416008,RW
XI-IATI-EC_INTPA-2021-ACT-61090,RW
XI-IATI-EC_INTPA-2016-ACT-D-38107-00,RW
XI-IATI-EC_INTPA-2023-PC-32142,RW
XI-IATI-EC_INTPA-2023-PC-30334,RW
XI-IATI-EC_INTPA-2016-ACT-D-37486-02,RW
XI-IATI-EC_INTPA-2022-PC-23195,RW
XI-IATI-EC_INTPA-2021-ACT-62976,RW
XI-IATI-EC_INTPA-2019-PCC-414050,RW
XI-IATI-EC_INTPA-2019-PCC-413820,RW
XI-IATI-EC_INTPA-2020-PCC-418161,RW
XI-IATI-EC_INTPA-2024-PC-27747,RW
XI-IATI-EC_INTPA-2022-PC-19819,RW
XI-IATI-EC_INTPA-2018-PCC-397046,RW
XI-IATI-EC_INTPA-2017-PCC-385290,RW
XI-IATI-EC_INTPA-2025-PC-59817,SL
XI-IATI-EC_INTPA-2023-ACT-61233,SL
XI-IATI-EC_INTPA-2025-PC-36473,SL
XI-IATI-EC_INTPA-2024-PC-36429,SL
XI-IATI-EC_INTPA-2024-PC-44598,SN
XI-IATI-EC_INTPA-2021-ACT-61121,SN
XI-IATI-EC_INTPA-2023-PC-26483,SN
XI-IATI-EC_INTPA-2018-ACT-D-40929-00,SN
XI-IATI-EC_INTPA-2023-PC-34444,SN
XI-IATI-EC_INTPA-2023-PC-26647,SN
XI-IATI-EC_INTPA-2025-PC-72129,SN
XI-IATI-EC_INTPA-2023-PC-29463,SN
XI-IATI-EC_INTPA-2023-PC-30645,SN
XI-IATI-EC_INTPA-2023-PC-25850,SN
XI-IATI-EC_INTPA-2021-PCC-429957,SN
XI-IATI-EC_INTPA-2022-ACT-60909,ST
XI-IATI-EC_INTPA-2026-PC-37759,ST
XI-IATI-EC_INTPA-2025-PC-37761,ST
XI-IATI-EC_INTPA-2023-PC-27905,ST
XI-IATI-EC_INTPA-2023-ACT-61862,SO
XI-IATI-EC_INTPA-2021-ACT-63055,SO
XI-IATI-EC_INTPA-2026-PC-53819,SO
XI-IATI-EC_INTPA-2023-PC-32172,SO
XI-IATI-EC_INTPA-2024-PC-46872,SS
XI-IATI-EC_INTPA-2017-ACT-D-40134-00,SV
XI-IATI-EC_INTPA-2023-PC-24360,SV
XI-IATI-EC_INTPA-2023-PC-30817,TG
XI-IATI-EC_INTPA-2023-PC-26198,TG
XI-IATI-EC_INTPA-2016-ACT-D-38540-01,TG
XI-IATI-EC_INTPA-2022-ACT-61496,TG
XI-IATI-EC_INTPA-2024-PC-37034,TG
XI-IATI-EC_INTPA-2023-PC-26203,TG
XI-IATI-EC_INTPA-2023-PC-31561,TG
XI-IATI-EC_INTPA-2023-ACT-61325,TJ
XI-IATI-EC_INTPA-2021-PCC-423353,TJ
XI-IATI-EC_INTPA-2023-PC-26837,TJ
XI-IATI-EC_INTPA-2019-ACT-D-41577-00,TL
XI-IATI-EC_INTPA-2018-ACT-D-39984-00,TL
XI-IATI-EC_INTPA-2021-ACT-62317,TL
XI-IATI-EC_INTPA-2016-ACT-D-37957-01,TL
