iatiidentifier,finance_type,finance_type_name,flow_type,flow_type_name,tied_status,collaboration_type,collaboration_type_name,hierarchy
46002-P-ZM-KA0-004,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-ZM-K00-006,,,,,,2,Multilateral (inflows),1
XM-DAC-6-4-011639-02-5,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-011005-01-3,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010877-02-0,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010888-01-0,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-013158-01-1,110,Standard grant,10,ODA,5,1,Bilateral,1
BJ-IFU-6201000370801-RSG0123375-29295,110,Standard grant,10,ODA,5,,,0
BJ-IFU-6201300688700-RSG0123375-29295,110,Standard grant,10,ODA,5,,,0
XI-IATI-CWSEC-Q0104,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0201,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0301,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0304,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0305,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0306,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0308,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0501,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0502,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0503,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0601,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0701,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0801,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0802,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0901,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q1101,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q1203,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q1303,4,Population,40,Non flow,5,2,Multilateral (inflows),1
