iatiidentifier,country,percentage
XI-IATI-CWSEC-Q1301,BZ,6.66
XI-IATI-CWSEC-Q1301,BS,6.66
XI-IATI-CWSEC-Q1301,JM,6.66
XI-IATI-CWSEC-Q1301,GB,6.66
XI-IATI-CWSEC-Q1301,NA,6.66
XI-IATI-CWSEC-Q1301,AU,6.66
XI-IATI-CWSEC-Q1301,PK,6.66
XI-IATI-CWSEC-Q1301,NG,6.66
XI-IATI-CWSEC-Q1301,MT,6.66
XI-IATI-CWSEC-Q1301,IN,6.66
XI-IATI-CWSEC-Q1301,SB,6.66
XI-IATI-CWSEC-Q1301,CM,6.66
XI-IATI-CWSEC-Q1301,GH,6.66
XI-IATI-CWSEC-Q1302,KE,14.28
XI-IATI-CWSEC-Q1302,NG,14.28
XI-IATI-CWSEC-Q1302,GH,14.28
XI-IATI-CWSEC-Q1302,GB,14.28
XI-IATI-CWSEC-Q1302,MY,14.28
XI-IATI-CWSEC-Q1302,PK,14.28
XI-IATI-CWSEC-Q1401,BB,33.33
XI-IATI-CWSEC-Q1401,GB,33.33
XI-IATI-CWSEC-R11P03,TZ,25
XI-IATI-CWSEC-R11P03,MY,25
XI-IATI-CWSEC-R11P03,LS,25
XI-IATI-CWSEC-R32P02,UG,6.66
XI-IATI-CWSEC-R32P02,GD,6.66
XI-IATI-CWSEC-R32P02,SZ,6.66
XI-IATI-CWSEC-R32P02,LS,6.66
XI-IATI-CWSEC-R32P02,MV,6.66
XI-IATI-CWSEC-R32P02,NA,6.66
XI-IATI-CWSEC-R32P02,MU,6.66
XI-IATI-CWSEC-R32P02,LK,6.66
XI-IATI-CWSEC-R32P02,BZ,6.66
XI-IATI-CWSEC-R32P02,KI,6.66
XI-IATI-CWSEC-R32P02,SC,6.66
XI-IATI-CWSEC-R32P02,FJ,6.66
XI-IATI-CWSEC-R32P02,DM,6.66
XI-IATI-CWSEC-R32P02,GM,6.66
XI-IATI-CWSEC-R44P01,BD,50
XI-IATI-CWSEC-R71P03,UG,100
XM-DAC-6-4-010152-01-5,EC,100
XM-DAC-6-4-009659-01-6,EG,100
XM-DAC-6-4-011598-01-6,GN,100
XM-DAC-6-4-011835-01-4,ET,100
XM-DAC-6-4-011764-02-3,ET,100
XM-DAC-6-4-011389-02-2,ET,100
XM-DAC-6-4-010081-01-3,ET,100
XM-DAC-6-4-013015-01-0,ET,100
XM-DAC-6-4-011755-03-0,ET,100
