iatiidentifier,budget_orig,n_budget_lines,budget_ccy
44000-P166360,-25138943,164,USD
44000-P166388,-163851417.86,4,USD
44000-P166425,-118246548,4,USD
44000-P166458,-86867417.13999999,162,USD
44000-P166564,-320104402.98,154,USD
44000-P166694,-146171801.06,148,USD
44000-P166739,-79265457.94,4,USD
44000-P166752,-197441296,38,USD
44000-P166788,-94433974.82,4,USD
44000-P166839,-64439362.88,36,USD
44000-P167190,-391473566.78,4,USD
44000-P167246,-36014320.74,44,USD
44000-P167263,-9978339.3,48,USD
44000-P167297,-1653142338.98,4,USD
44000-P167348,-99436728,4,USD
44000-P167465,-30375315.4,38,USD
44000-P167485,-156721431.24,28,USD
44000-P167547,-472896612.04,22,USD
44000-P167651,-658386986.08,4,USD
44000-P167674,-591487166.66,30,USD
44000-P167748,-36298866.18,22,USD
44000-P167889,-635881412.48,4,USD
44000-P167941,38118084.46,48,USD
44000-P168035,-183654905.2,146,USD
44000-P168130,1297001219.76,162,USD
44000-P168166,-57362366.92,4,USD
44000-P168204,-1212132552.46,32,USD
44000-P168218,-77952039.58,4,USD
44000-P168259,-79341548,4,USD
44000-P168280,-1301879890.02,34,USD
44000-P168332,-189228379.12,16,USD
44000-P168335,-20451834,4,USD
44000-P168336,-1069057809.24,18,USD
44000-P168402,-15736576.299999997,154,USD
44000-P168446,-199477048,28,USD
44000-P168474,-102539480.72,30,USD
44000-P168566,-2265777264.68,4,USD
44000-P168580,-396154111.06,48,USD
44000-P168587,-1065561440.2,42,USD
44000-P168606,-200782638,20,USD
44000-P168668,-394146398.82,22,USD
44000-P168697,-197641436.5,30,USD
44000-P168713,1500187500,130,USD
44000-P168724,-429704287.74,4,USD
44000-P168725,-378149878.64,124,USD
44000-P168749,148380,156,USD
44000-P168869,-182456825.3,4,USD
44000-P169040,-625330782.94,50,USD
44000-P169079,-1961498714.22,16,USD
44000-P169179,-10038528,4,USD
44000-P169498,-203110968,10,USD
44000-P169505,-280710183.48,42,USD
44000-P169524,-85974714.14,24,USD
44000-P169624,-89395257.98,4,USD
44000-P169822,-165618318.79999995,162,USD
44000-P169828,-357690698.6,4,USD
44000-P169830,-679756989.08,22,USD
44000-P169867,-293354018.8,22,USD
44000-P169907,-347662484.4,54,USD
44000-P169913,-283902853.4,4,USD
44000-P169956,-266187221.36,36,USD
44000-P169983,-736628261.48,4,USD
44000-P170052,-593790951.74,36,USD
44000-P170113,-103636108.88,4,USD
44000-P170223,-104285566.3,4,USD
44000-P170248,-193877268.2,4,USD
44000-P170366,-737523710.54,42,USD
44000-P170477,-55282660.58,36,USD
44000-P170558,-27784787.9,48,USD
44000-P170568,-867900647.78,4,USD
44000-P170728,-665196666.24,44,USD
44000-P170914,-830399536.94,24,USD
44000-P170934,-294305005.88,4,USD
44000-P170940,-1534175948.56,32,USD
44000-P171006,-146072370.02,4,USD
44000-P171071,-11294680,38,USD
44000-P171080,-49428592.96,4,USD
44000-P171190,-836591666.66,4,USD
44000-P171216,200000000,4,USD
44000-P171238,-55818156,162,USD
44000-P171311,-556735919.56,4,USD
44000-P171440,-741719412.52,4,USD
44000-P171465,814133.3400000036,140,USD
44000-P171474,0,2,USD
44000-P171554,-298980588.46,24,USD
44000-P171570,-996217041.52,38,USD
44000-P171585,-60141762,4,USD
44000-P171587,-990865140.68,36,USD
44000-P171751,-736454344.08,4,USD
44000-P171764,-50181570,4,USD
44000-P171780,-76249111.26,4,USD
44000-P171850,-819039581.52,4,USD
44000-P171851,13757358.319999993,146,USD
44000-P171912,-405295876.64,30,USD
44000-P172023,-186077966.9,4,USD
44000-P172211,-152070112,146,USD
44000-P172321,-1572350566.52,32,USD
44000-P172439,-1263966882.1,4,USD
44000-P172454,-88335512.86,4,USD
44000-P172455,-218259320,4,USD
44000-P172567,-189041829.16,40,USD
44000-P172597,-515121497.98,4,USD
44000-P172614,-15129072,4,USD
44000-P172628,-723641893.48,4,USD
44000-P172648,-677239444.28,4,USD
44000-P172723,-534718872.26,4,USD
44000-P172732,-254062569.8,38,USD
44000-P172742,-115629874,4,USD
44000-P172749,-203759117.08,24,USD
44000-P172796,-459941857.54,36,USD
44000-P172863,-1444375963.92,4,USD
44000-P173008,-28811723.82,4,USD
44000-P173044,-406072960.52,4,USD
44000-P173113,-513824345.22,32,USD
44000-P173150,-120227374,4,USD
44000-P173232,-633028774.32,4,USD
44000-P173233,-1710597078.86,4,USD
44000-P173324,-347048470.92,36,USD
44000-P173424,-733362128.14,30,USD
44000-P173529,-352368599.86,4,USD
44000-P173558,-249897845.68,18,USD
44000-P173680,-331970018.7,4,USD
44000-P173698,-562759735.76,4,USD
44000-P173906,-583052780.18,30,USD
44000-P173943,-1107018664.08,4,USD
44000-P173982,-288031707.6,4,USD
44000-P173996,-517691011.1,4,USD
44000-P174000,-1171729581.62,24,USD
44000-P174004,-773134880.78,12,USD
44000-P174005,-833696258.94,4,USD
44000-P174027,-610465649,24,USD
44000-P174063,-161652389.94,34,USD
44000-P174107,-334029089.6,4,USD
44000-P174110,-564426153.58,4,USD
44000-P174115,-689364404.84,26,USD
44000-P174118,-1174264777.36,30,USD
44000-P174120,-739636677.48,32,USD
44000-P174145,-146031008.96,24,USD
44000-P174150,-1186744257.16,4,USD
44000-P174152,-203078070,22,USD
44000-P174155,-143772916,28,USD
44000-P174191,-123846648.78,4,USD
44000-P174198,-25944150.22,30,USD
44000-P174234,-202498704,4,USD
44000-P174246,-1014145893.14,4,USD
44000-P174260,-20739888,4,USD
44000-P174274,-23789601.96,4,USD
44000-P174275,-29718548,4,USD
44000-P174292,-1056181047.92,30,USD
