donor_ref,donor,country,year,commit_year,disb_year,cum_commit,total_commit,s1_share,s2_hhi,s2_hhi_net,s3_n_donors,n_activities
44000,EN: World Bank,CO,2016,800000000,1445136940,3600000000,5956429095.739236,0.6043889622685442,0.49143810429179374,0.12615208657974597,3,2
44000,EN: World Bank,CO,2017,1100000000,0,4700000000,8005824095.739236,0.5870726041184664,0.47462548872392,0.12997124621748246,3,2
44000,EN: World Bank,CO,2018,0,1199690960,4700000000,9069764095.739237,0.5182053193872981,0.4480227694335258,0.17948601639223422,3,2
44000,EN: World Bank,CO,2019,718500000,718500000,5418500000,10211475040,0.5306285310177872,0.4934948003255837,0.21192816239548895,3,4
44000,EN: World Bank,CO,2020,1600000000,1350000000,7018500000,12672869040,0.5538209207281448,0.4985799039847504,0.19186229174858033,3,11
44000,EN: World Bank,CO,2021,2050000000,2250000000,9068500000,14936089000,0.6071535861897984,0.5229637820666692,0.15432830484353616,2,5
44000,EN: World Bank,CO,2022,1750000000,2050000000,10818500000,17302421740,0.6252592939050623,0.5264310579147126,0.1354818733000555,3,3
44000,EN: World Bank,CO,2023,750000000,750000000,11568500000,19063815740,0.6068302462516353,0.5176467412159984,0.14940379345017807,3,1
44000,EN: World Bank,CR,2017,0,31017000,0,0,NA,0,NA,1,1
44000,EN: World Bank,CR,2020,300000000,0,300000000,880000000,0.3409090909090909,0.5506198347107438,0.43440082644628103,2,1
44000,EN: World Bank,CR,2021,300000000,300000000,600000000,1430000000,0.4195804195804196,0.5129346178297227,0.3368868893344418,2,2
44000,EN: World Bank,CR,2022,0,300000000,600000000,1430000000,0.4195804195804196,0.5129346178297227,0.3368868893344418,2,1
44000,EN: World Bank,CR,2023,660000000,0,1260000000,1260000000,1,1,NA,1,2
44000,EN: World Bank,CV,2014,15499999.999999998,15565513.999999998,15499999.999999998,32591009.130642913,0.475591287703531,0.5011915704719437,0.27500449753244094,2,1
44000,EN: World Bank,CV,2015,10000000,10138680,25500000,59834285.40819386,0.42617706263285576,0.5108996521630267,0.32927276344865763,2,1
44000,EN: World Bank,CV,2019,50000000,39667419,75500000,178198321.9172045,0.423685246795305,0.5116478831133869,0.33213869476138846,2,2
44000,EN: World Bank,CV,2020,25000000,35776187,100500000,237771330.43217656,0.42267501223688225,0.5119583074651326,0.33330414149568405,2,2
44000,EN: World Bank,CV,2021,30000000,29648200.000000004,130500000,311215262.7800116,0.4193239072990016,0.4454983918903721,0.2696658526578704,3,1
44000,EN: World Bank,CV,2022,52500000,44985756,183000000,366368675.12784666,0.49949685227903556,0.5000005063152582,0.25050340087859346,2,1
44000,EN: World Bank,CV,2023,25000000,25706112,208000000,402762681.2194623,0.5164331495912909,0.5005400968109794,0.23383689881419878,2,1
44000,EN: World Bank,DM,2021,25000000,25000000,25000000,25000000,1,1,NA,1,1
44000,EN: World Bank,DM,2022,50000000,30000000,75000000,75000000,1,1,NA,1,2
44000,EN: World Bank,DO,2015,60000000,60000000,60000000,760000000,0.07894736842105263,0.8545706371191135,0.8483379501385041,2,1
44000,EN: World Bank,DO,2017,150000000,0,210000000,1210000000,0.17355371900826447,0.7131343487466704,0.6830134553650707,2,1
44000,EN: World Bank,DO,2020,100000000,250000000,310000000,2210000000,0.14027149321266968,0.7588091971908848,0.7391331053827728,2,2
44000,EN: World Bank,DO,2022,630000000,0,940000000,3345602720,0.2809658165270741,0.5726041904166278,0.49366240035990233,3,2
44000,EN: World Bank,DO,2023,400000000,400000000,1340000000,3990000000,0.3358395989974937,0.5538972745146074,0.44110903825980996,2,2
