iatiidentifier,reportingorg_ref,reportingorg_narrative,url,format,category_code,domain
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_development_bank_of_namibia-_adbbdwp2024288add.1-par-decembre_2024.pdf,application/pdf,A08,www.afdb.org
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Projekte/Projektdatenbank/index.jsp,text/html,A12,www.kfw-entwicklungsbank.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Evaluierungen/Ergebnisse/,application/pdf,A07,www.kfw-entwicklungsbank.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.bmz.de/de/laender/mosambik,text/html,B03,www.bmz.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.bmz.de/en/countries/mozambique,text/html,B03,www.bmz.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Evaluations/Results/,application/pdf,A07,www.kfw-entwicklungsbank.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/KfW-Ausschreibungen,text/html,A10,www.gtai.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/kfw-tender,text/html,A10,www.gtai.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/KfW-Ausschreibungen,text/html,A11,www.gtai.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/kfw-tender,text/html,A11,www.gtai.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Evaluierungen/Ergebnisse/,application/pdf,A05,www.kfw-entwicklungsbank.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Evaluations/Results/,application/pdf,A05,www.kfw-entwicklungsbank.de
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Projekte/Projektdatenbank/index.jsp,text/html,A01,www.kfw-entwicklungsbank.de
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,https://mapafrica.afdb.org/en/projects/46002-P-SC-K00-015,text/html,A12,mapafrica.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,https://www.afdb.org/en/projects-and-operations/P-SC-K00-015,text/html,A12,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_covid-19_crisis_response_budget_support_program_-_appraisal_report.pdf#page=1&zoom=auto,-13,842",application/pdf,A01,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_covid-19_crisis_response_budget_support_program_-_appraisal_report.pdf#page=1&zoom=auto,-13,842",application/pdf,A02,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_covid-19_crisis_response_budget_support_program_-_appraisal_report.pdf#page=1&zoom=auto,-13,842",application/pdf,A02,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_covid-19_crisis_response_budget_support_program_-_appraisal_report.pdf#page=1&zoom=auto,-13,842",application/pdf,A03,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_covid-19_crisis_response_budget_support_program_-_appraisal_report.pdf#page=1&zoom=auto,-13,842",application/pdf,A04,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_covid-19_crisis_response_budget_support_program_-_appraisal_report.pdf#page=1&zoom=auto,-13,842",application/pdf,A05,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_covid-19_crisis_response_budget_support_program_-_appraisal_report.pdf#page=1&zoom=auto,-13,842",application/pdf,A08,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_programme_dappui_budgetaire_en_reponse_a_la_crise_de_la_covid-19_002.pdf#page=1&zoom=auto,-13,842",application/pdf,A01,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_programme_dappui_budgetaire_en_reponse_a_la_crise_de_la_covid-19_002.pdf#page=1&zoom=auto,-13,842",application/pdf,A02,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_programme_dappui_budgetaire_en_reponse_a_la_crise_de_la_covid-19_002.pdf#page=1&zoom=auto,-13,842",application/pdf,A02,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_programme_dappui_budgetaire_en_reponse_a_la_crise_de_la_covid-19_002.pdf#page=1&zoom=auto,-13,842",application/pdf,A03,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_programme_dappui_budgetaire_en_reponse_a_la_crise_de_la_covid-19_002.pdf#page=1&zoom=auto,-13,842",application/pdf,A04,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_programme_dappui_budgetaire_en_reponse_a_la_crise_de_la_covid-19_002.pdf#page=1&zoom=auto,-13,842",application/pdf,A05,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_programme_dappui_budgetaire_en_reponse_a_la_crise_de_la_covid-19_002.pdf#page=1&zoom=auto,-13,842",application/pdf,A08,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_covid-19_crisis_response_budget_support_program_-_p-sc-k00-015_-_ipr_june_2021.pdf#page=1&zoom=auto,-13,785",application/pdf,A03,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_covid-19_crisis_response_budget_support_program_-_p-sc-k00-015_-_ipr_june_2021.pdf#page=1&zoom=auto,-13,785",application/pdf,A07,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_covid-19_crisis_response_budget_support_program_-_p-sc-k00-015_-_ipr_june_2021.pdf#page=1&zoom=auto,-13,785",application/pdf,A08,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,https://evrd.afdb.org/documents/docs/PN11009_SR_EN.pdf,application/pdf,A03,evrd.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,https://evrd.afdb.org/documents/docs/PN11009_SR_EN.pdf,application/pdf,A07,evrd.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,https://evrd.afdb.org/documents/docs/PN11009_SR_EN.pdf,application/pdf,A08,evrd.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_programme_dappui_budgetaire_en_reponse_a_la_crise_de_la_covid-19_-_rapport_dachevement_de_projet.pdf#page=1&zoom=auto,-13,798",application/pdf,A03,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_programme_dappui_budgetaire_en_reponse_a_la_crise_de_la_covid-19_-_rapport_dachevement_de_projet.pdf#page=1&zoom=auto,-13,798",application/pdf,A07,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-_programme_dappui_budgetaire_en_reponse_a_la_crise_de_la_covid-19_-_rapport_dachevement_de_projet.pdf#page=1&zoom=auto,-13,798",application/pdf,A08,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-covid-19_crisis_response_budget_support_program_-_project_completion_report.pdf#page=2&zoom=auto,-13,789",application/pdf,A03,www.afdb.org
