iatiidentifier,commitment_usd_full,disbursement_usd_full,n_disb_years_full
44000-P169524,80000000,80000000,1
44000-P169624,50000000,51055550,2
44000-P169822,500000000,500000000,1
44000-P169828,200000000,196733483,1
44000-P169830,350000000,351083607,1
44000-P169867,150000000,150596825,1
44000-P169907,250000000,248435968,1
44000-P169913,98500000,101091505,1
44000-P169956,90000000,90000000,2
44000-P169983,500000000,500000000,1
44000-P170052,400000000,400000000,2
44000-P170113,56400000,53828280,1
44000-P170223,70000000,70000000,1
44000-P170248,100000000,101213373,1
44000-P170366,279824645,282379822,2
44000-P170477,50000000,50000000,1
44000-P170558,13495702,13896691,1
44000-P170568,499999998,506185262,1
44000-P170728,400000000,400000000,1
44000-P170914,600000000,600000000,2
44000-P170934,147950000,150469970,1
44000-P170940,600000000,601870192,1
44000-P171006,84400000,86008980,1
44000-P171071,5500000,5647340,1
44000-P171080,25000000,25758531,1
44000-P171190,500000000,500000000,1
44000-P171216,0,0,1
44000-P171238,30000000,29432208.000000004,1
44000-P171311,360000000,360000000,1
44000-P171440,500000000,500000000,2
44000-P171465,20000000,20000000,1
44000-P171474,-860042,0,0
44000-P171554,150000000,152247806,1
44000-P171570,458701095.00000006,459407425.00000006,1
44000-P171585,30000000,30070881,1
44000-P171587,500000000,544564935,1
44000-P171751,500000000,500000000,1
44000-P171764,25000000,25090785,2
44000-P171780,40000000,39820916,1
44000-P171850,500000000,506105978,1
44000-P171851,139250000,139020031,1
44000-P171912,300000000,300000000,1
44000-P172023,100000000,94557054,2
44000-P172211,160000000,159847056,1
44000-P172321,1000000000,1000000000,1
44000-P172439,800000000,800000000,1
44000-P172454,30000000,29265511,2
44000-P172455,200000000,200000000,1
44000-P172567,119000000,119000000,1
44000-P172597,350000000,350000000,1
44000-P172614,17500000,7564536,1
44000-P172628,400000000,397400612,1
44000-P172648,350000000,350000000,1
44000-P172723,300000000,280826175,1
44000-P172732,200000000,200000000,1
44000-P172742,39000000,37814937,2
44000-P172749,100000000,103677795,1
44000-P172796,400000000,399699501,2
44000-P172863,1000000000,1000000000,2
44000-P173008,14800000,15040474,1
44000-P173044,200000000,210705786,1
44000-P173113,249689311,262303230,1
44000-P173150,40000000,40113687,1
44000-P173232,400000000,400000000,1
44000-P173233,1000000000,1000000000,1
44000-P173324,175000000,192713137,2
44000-P173424,500000000,500000000,1
44000-P173529,199451991,179408037,1
44000-P173558,145000000,134537736,1
44000-P173680,175000000,168468988,1
44000-P173698,500000000,500000000,1
44000-P173906,300000000,304108911,1
44000-P173943,749960000,748478832,1
44000-P173982,150000000,149060890,1
44000-P173996,300000000,335531268,2
44000-P174000,750000000,750000000,2
44000-P174004,450000000,431158468,2
44000-P174005,450000000,468131849,1
44000-P174027,400000000,402601860,1
44000-P174063,80000000.00000001,82453208,1
44000-P174107,300000000,300000000,2
44000-P174110,300000000,300345840,1
44000-P174115,500000000,500000000,1
44000-P174118,700000000,700000000,1
44000-P174120,500000000,500000000,2
44000-P174145,100000000,100000000,1
44000-P174150,750000000,750000000,2
44000-P174152,100000000,101539035,1
44000-P174155,70000000,71886458,1
44000-P174191,100000000,68000000,1
44000-P174198,15000000,15000000,2
44000-P174234,100000000,101249352,1
44000-P174246,750000000,750000000,1
44000-P174260,10000000,10369944,1
44000-P174274,11999759,11895042,2
44000-P174275,15000000,14859274,1
44000-P174292,750000000,750000000,1
44000-P174315,99743426,102001894,1
44000-P174346,30000000,30000000,1
44000-P174347,100000000,98337639,1
44000-P174367,400000000,364851780,1
44000-P174376,70000000,73333770,1
44000-P174388,75000000,78016302,1
44000-P174440,750000000,750000000,1
44000-P174447,40000000,40000000,2
44000-P174498,14000000,13827501.000000002,1
44000-P174527,25000000,25000000,1
44000-P174531,150000000,150000000,1
44000-P174553,400000000,397156862,1
44000-P174683,30000000,30677751,1
44000-P174754,30000000,29648200,1
44000-P174786,300000000,300000000,1
44000-P174889,100000000.00000001,97661207,1
44000-P174892,250000000,242652069,1
44000-P174911,275000000,275000000,1
44000-P174927,25000000,25000000,1
44000-P175008,400000000,400000000,2
44000-P175072,137000000,138468799,2
44000-P175126,750000000,752303032,2
44000-P175139,1317585200,1309186588,1
44000-P175191,100000000,100143827,1
44000-P175249,100000000,107124660,1
44000-P175251,750000000,750000000,1
44000-P175256,250000000,245267831,1
44000-P175293,300000000,301881310,1
44000-P175317,75000000,75000000,1
44000-P175342,75000000,74178270,1
44000-P175360,600000000,600000000,1
44000-P175490,100000000,100000000,1
44000-P175492,100000000,100000000,1
44000-P175543,100000000,98721956,1
44000-P175570,40000000,39935020,1
44000-P175640,150000000,142432875,1
44000-P175742,350000000,351376780,1
44000-P175758,35000000,34865892,1
44000-P175801,500000000,501584877,2
44000-P175847,30000000,30000000,1
44000-P175874,400000000,400000000,1
44000-P175930,250000000,250000000,1
44000-P175934,250000000,250000000,2
44000-P175979,250000000,250000000,1
44000-P176137,132000000,131072400,1
44000-P176148,52500000,55797538,2
44000-P176278,100000000,103412920,1
44000-P176353,400000000,400000000,1
44000-P176387,350000000,350000000,1
44000-P176420,35000000,35000000,1
44000-P176447,500000000,499879904,1
44000-P176498,100000000.00000001,98095270,1
44000-P176505,500000000,501584877,2
44000-P176513,100000000,98279536,1
44000-P176650,300000000,302940712,2
44000-P176663,25000000,25000000,1
44000-P176717,221500000,204965948,1
44000-P176756,200000000,182822400,1
44000-P176762,300000000,284883552,1
44000-P176788,750000000,752451598,2
44000-P176810,150000000,150000000,1
44000-P176881,150000000,144929554,1
44000-P176891,600000000,600000000,2
44000-P176903,750000000,750000000,1
44000-P176930,10000000,9555552,1
44000-P176937,500000000,487108528,1
44000-P176983,700000000,700000000,1
44000-P176993,55000000.00000001,54441088,1
44000-P177001,100000000,100000000,1
44000-P177029,500000000,500000000,1
44000-P177125,500000000,500000000,3
44000-P177410,160000000,160457008,2
44000-P177460,250000000,243003420,1
44000-P177632,470169601,470169601.00000006,1
44000-P177712,52500000,52297423.00000001,1
44000-P177726,750000000,752919940,1
44000-P177748,60000000,40545785,1
44000-P177765,500000000,500000000,1
44000-P177776,100000000,95593446,1
44000-P177794,10000000,8167046,1
44000-P177797,50000000,50257249,1
44000-P177807,20000000,0,0
44000-P177930,50000000,52749840,1
44000-P177931,838750000,818995184,2
44000-P177985,750000000,750000000,1
44000-P178042,150000000,143262350,1
44000-P178064,400000000,429183400,1
44000-P178113,200000000,200000000,1
44000-P178115,160000000,181263021,1
44000-P178122,230000000.00000003,1722125.0000000002,2
44000-P178156,500000000,500000000,2
44000-P178202,120000000,122531227,1
44000-P178209,24999999.999999996,24999999.999999996,1
44000-P178210,25000000,25000000,1
44000-P178224,700000000,700000000,2
44000-P178285,240000000,240000000.00000003,2
44000-P178303,600000000,541696008,1
44000-P178321,100000000,103957516,1
44000-P178322,65000000,66178530,1
44000-P178329,190000000,190000000,1
44000-P178382,500000000,504479018,1
44000-P178423,350000000,375306750,1
44000-P178481,500000000,493349067.00000006,1
44000-P178531,80000000,79987050,1
44000-P178570,400000000,400000000,1
44000-P178591,750000000,750000000,1
44000-P178614,50000000,53807040,1
44000-P178634,750000000,750000000,1
44000-P178635,50000000,50154552,1
44000-P178636,500000000,500000000,2
44000-P178646,86600000,83512000,1
44000-P178668,300000000,305014402,1
44000-P178676,20000000,20607365,2
44000-P178687,100000000,99996786,1
44000-P178729,135238245,135238245,1
44000-P178912,641700000,633240000,1
44000-P178930,30000000,30000000,1
44000-P179006,300000000,310271640,1
44000-P179007,950000000,950000000,1
44000-P179019,274000000,274000000,1
44000-P179077,1000000000,1000000000,1
