iatiidentifier,commitment_usd_full,disbursement_usd_full,n_disb_years_full
FI-3-2017-2005050123,19369800,10254600,1
FI-3-2017-2013130288,0,2493655.97436,1
FI-3-2017-2014140891,0,3418200,1
FI-3-2017-2015150032,0,569700,1
FI-3-2018-2005050123,0,9115200,1
FI-3-2018-2013130288,26914.9068,1304218.7676000001,1
FI-3-2018-2015150032,0,569700,1
FI-3-2018-2018180551,10254600,3418200,1
FI-3-2019-2005050123,0,10254600,1
FI-3-2019-2013130288,0,14083.952490000001,1
FI-3-2019-2015150032,0,1139400,1
FI-3-2019-2018180551,0,3418200,1
FI-3-2019-2019190049,4557600,0,0
FI-3-2019-2019190107,31903200,0,0
FI-3-2020-2018180551,0,3418200,1
FI-3-2020-2019190049,0,2278800,1
FI-3-2020-2019190107,0,11394000,1
FI-3-2021-2018180551,6836400,3418200,1
FI-3-2021-2019190107,0,11394000,1
FI-3-2021-2021001001,23927.4,1813.9248,1
FI-3-2021-2021005339,21648600,0,0
FI-3-2022-2018180551,0,3418200,1
FI-3-2022-2019190049,0,1139400,1
FI-3-2022-2019190107,0,9115200,1
FI-3-2022-2021210112,0,3418200,1
FI-3-2022-2022220043,23927400,0,0
FI-3-2023-2023230044,0,1139400,1
FI-3-2023-2023230130,0,5697000,1
FI-3-2023-2023230300,0,3987900,1
FI-3-2023-2023230435,5355180,1936980,1
FI-3-2023-2023230729,9115200,0,0
FI-3-2024-2024240132,0,4785480,1
FI-3-2024-2024240259,0,4557600,1
FI-3-2024-2024240349,0,3418200,1
FI-3-2025-2025250181,9115200,2278800,1
FI-3-2025-2025250423,0,4899420,1
GB-1-103985-101,39196933.25,32347562,5
GB-1-103986-101,358159247.75,244238652.15,5
GB-1-113707-102,25147450,25147450,2
GB-1-113963-102,24485675,24485675,2
GB-1-114086-101,21031202.88225,15882600,6
GB-1-114506-106,60883300,60883300,2
GB-1-201375-102,100458221.92385,70942280,4
GB-1-201375-106,4500070,4500070,1
GB-1-201564-101,63133335,54530260,3
GB-1-201629-108,39412739.40105,41818953.1554595,5
GB-1-202328-101,242860235.7083,242860235.099467,11
GB-1-202377-101,96060042.7735,96060042.7735,4
GB-1-202462-101,27639808.4753,22938445.05,4
GB-1-202468-101,65290721.5,65290721.5,3
GB-1-202697-101,230297578.2334,230297578.2334,8
GB-1-202893-104,4520043.69305,4520043.2033365,1
GB-1-202990-101,344586242.5,347564230,4
GB-1-202990-103,12441370,12441370,1
GB-1-202991-102,310372475,310372475,3
GB-1-203001-101,49178379.691,41236455.3857005,4
GB-1-203100-104,6448360.74745,6419216.17645,8
GB-1-203213-101,142612512.5,142612512.5,3
GB-1-203213-102,103236900,103236900,4
GB-1-203396-102,39706500,39706500,1
GB-1-203413-102,7941300,7941299.999999999,1
GB-1-203536-101,18529700,18529700,2
GB-1-203536-113,12435174.46245,12435174.46245,3
GB-1-203585-101,49396442.4948,49396442.4948,3
GB-1-203766-109,6617750,6617750,1
GB-1-203766-111,19853250,19853250,1
GB-1-203766-112,590581.2455,590581.2455,3
GB-1-203811-101,3308875,1985325,2
GB-1-204024-107,119119500,119119500,2
GB-1-204179-101,43015375,43015375,2
GB-1-204288-102,4798240.667550001,4849048.3505265005,1
GB-1-205145-102,18472932.9405,12295207.7264,6
GB-1-205145-104,75846380.84365,75213749.09109999,9
GB-GOV-1-301596-404,6617750,1323550,1
GB-GOV-28-MHRA-GAMRIF,226384.162285,0,0
KR-GOV-021-20ED00026,0,640609.1534219916,1
KR-GOV-021-20ED00032,0,1328055.763866364,1
NL-1-PPR-26891,22788000,22788000,4
NO-BRC-971277882-NPL-07/010,34855490.7471768,32285096.658506855,10
NO-BRC-971277882-NPL-20/0002,19643990.449998487,19643990.44999849,4
NO-BRC-971277882-PAL-24/0005,30423000.594356634,30423000.594356634,1
NO-BRC-971277882-PAL-25/0011,34251060.27179223,34251060.27179223,1
NO-BRC-971277882-PAL-26/0002,10073841.256409481,10073841.256409481,1
NZ-1-ACT-0100448,2258738.4945507934,0,0
NZ-1-ACT-0100787,0,0,0
NZ-1-ACT-0101323,288101.7561691795,0,0
NZ-1-ACT-0101351,0,0,0
NZ-1-ACT-0101654,32415.912812694107,0,0
NZ-1-ACT-0101853,44079.28172115873,0,0
NZ-1-ACT-0102028,0,0,0
NZ-1-ACT-0102518,5364.503924558135,0,0
NZ-1-ACT-0102575,0,0,0
NZ-1-ACT-0102806,0,0,0
NZ-1-ACT-0102885,823253.0860014682,0,0
NZ-1-ACT-0103028,10767.73956745158,0,0
NZ-1-ACT-0103329,0,0,0
NZ-1-ACT-0103441,0,0,0
NZ-1-ACT-0103689,338810.774182619,0,0
NZ-1-ACT-0103755,39652.15427183918,0,0
NZ-1-ACT-0103910,5059102.360381727,0,0
NZ-1-ACT-0104124,8854424.868710825,0,0
NZ-1-ACT-0104126,2756356.6548082894,0,0
NZ-1-ACT-0104284,8470269.354565475,0,0
NZ-1-ACT-0104327,169229.77017335818,0,0
NZ-1-ACT-0104449,138347.7327912361,0,0
NZ-1-ACT-0104560,0,0,0
NZ-1-ACT-0104720,847026.9354565475,0,0
NZ-1-ACT-0104876,667327.8389519453,0,0
NZ-1-ACT-0105057,0,0,0
NZ-1-ACT-0105129,282342.3118188492,0,0
NZ-1-ACT-0105177,0,0,0
XI-IATI-EC_INTPA-2008-ACT-D-20972-01,412301192.027418,0,0
XI-IATI-EC_INTPA-2014-ACT-D-25027-00,71191367.37729,0,0
XI-IATI-EC_INTPA-2015-ACT-D-37809-00,40596997.775238,0,0
XI-IATI-EC_INTPA-2015-ACT-D-37956-00,45032808.25494,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38103-00,38169900,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38149-00,12919694.211594,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38302-01,36232920,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38302-02,36232920,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38388-00,210097045.615896,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38504-00,13599115.002,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38731-01,26519765.38668,0,0
XI-IATI-EC_INTPA-2016-ACT-D-37486-02,261059113.439586,0,0
XI-IATI-EC_INTPA-2016-ACT-D-37957-01,29255699.275200002,0,0
XI-IATI-EC_INTPA-2016-ACT-D-37972-00,120033697.252626,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38030-00,92747160,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38107-00,172183995.0432,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38233-00,80770100.546394,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38320-00,226740600,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38386-00,181443753,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38540-01,58391371.41984,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38564-01,66169541.076984,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38569-00,46855194.945768,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38574-01,206235045.977454,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38575-00,72738583.635726,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38868-01,10336692.6306,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38939-00,224321212.897776,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38972-00,87164100,0,0
XI-IATI-EC_INTPA-2016-ACT-D-39297-00,64314344.52,0,0
XI-IATI-EC_INTPA-2016-ACT-D-39310-00,100594092.367386,0,0
XI-IATI-EC_INTPA-2016-ACT-D-39312-00,18230400,0,0
XI-IATI-EC_INTPA-2016-PCC-375131,1139400,1139400,2
XI-IATI-EC_INTPA-2017-ACT-D-38831-00,39423240,0,0
XI-IATI-EC_INTPA-2017-ACT-D-39148-00,175162782.094758,0,0
XI-IATI-EC_INTPA-2017-ACT-D-39228-00,18857070,0,0
XI-IATI-EC_INTPA-2017-ACT-D-39288-00,56970000,0,0
XI-IATI-EC_INTPA-2017-ACT-D-39656-00,186857614.3788,0,0
XI-IATI-EC_INTPA-2017-ACT-D-39674-04,107638749.9738,0,0
XI-IATI-EC_INTPA-2017-ACT-D-39902-00,119637000,0,0
XI-IATI-EC_INTPA-2017-ACT-D-40022-00,18800100,0,0
XI-IATI-EC_INTPA-2017-ACT-D-40031-01,173188800,0,0
XI-IATI-EC_INTPA-2017-ACT-D-40033-01,33612300,0,0
XI-IATI-EC_INTPA-2017-ACT-D-40134-00,61527600,0,0
XI-IATI-EC_INTPA-2017-PCC-385290,3418200,2278800,2
XI-IATI-EC_INTPA-2017-PCC-389389,13672800,7729994.868048,5
XI-IATI-EC_INTPA-2017-PCC-392914,86736825,0,0
XI-IATI-EC_INTPA-2018-ACT-D-38945-00,25192134,0,0
XI-IATI-EC_INTPA-2018-ACT-D-39315-00,16863120,0,0
XI-IATI-EC_INTPA-2018-ACT-D-39665-00,221763164.290722,0,0
XI-IATI-EC_INTPA-2018-ACT-D-39797-00,113940000,0,0
XI-IATI-EC_INTPA-2018-ACT-D-39984-00,14402423.175984,0,0
XI-IATI-EC_INTPA-2018-ACT-D-39985-00,70414920,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40643-00,67035890.2932,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40697-00,86024700,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40701-00,167323660.416918,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40839-01,121988362.597848,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40854-00,17091000,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40855-00,22332240,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40874-00,24808610.068596,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40929-00,29624400,0,0
XI-IATI-EC_INTPA-2018-ACT-D-41015-01,11394000,0,0
XI-IATI-EC_INTPA-2018-ACT-D-41630-00,2518074,0,0
XI-IATI-EC_INTPA-2018-PCC-383693,1936978.439022,1988307.46332,3
XI-IATI-EC_INTPA-2018-PCC-397039,595568.117232,595568.117232,3
XI-IATI-EC_INTPA-2018-PCC-397046,404224.9380000001,626670,1
XI-IATI-EC_INTPA-2018-PCC-397120,133119899.6202,0,0
XI-IATI-EC_INTPA-2018-PCC-397536,2278800,2050920,3
XI-IATI-EC_INTPA-2018-PCC-397670,2256012,1279105.7535360001,3
XI-IATI-EC_INTPA-2018-PCC-399023,22764072.6,4606524.115506,4
XI-IATI-EC_INTPA-2018-PCC-402069,27060750,0,0
XI-IATI-EC_INTPA-2018-PCC-402235,18458280,0,0
XI-IATI-EC_INTPA-2018-PCC-404409,279153000,0,0
XI-IATI-EC_INTPA-2018-PCC-404429,3844084.578786,3844084.578786,2
XI-IATI-EC_INTPA-2019-ACT-D-38918-00,54691200,0,0
XI-IATI-EC_INTPA-2019-ACT-D-39998-00,127612800,0,0
XI-IATI-EC_INTPA-2019-ACT-D-40019-00,39879000,0,0
XI-IATI-EC_INTPA-2019-ACT-D-40807-00,58617332.020782,0,0
XI-IATI-EC_INTPA-2019-ACT-D-40840-00,43297200,0,0
XI-IATI-EC_INTPA-2019-ACT-D-40939-00,41018400,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41123-00,56630288.664792,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41264-00,53836650,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41517-00,20509200,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41577-00,16847950.279068,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41594-00,2044342.2438,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41736-00,40220820,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41739-00,11394000,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41940-00,5697000,0,0
XI-IATI-EC_INTPA-2019-ACT-D-42051-00,22788000,0,0
XI-IATI-EC_INTPA-2019-ACT-D-42187-00,57767352.11999999,0,0
XI-IATI-EC_INTPA-2019-ACT-D-42209-00,28485000,0,0
XI-IATI-EC_INTPA-2019-PCC-404038,1025460,922914,3
XI-IATI-EC_INTPA-2019-PCC-407596,1139302.0116,1025371.81044,2
XI-IATI-EC_INTPA-2019-PCC-408616,5127300,0,0
XI-IATI-EC_INTPA-2019-PCC-409406,22788000,0,0
XI-IATI-EC_INTPA-2019-PCC-409671,37600200,0,0
XI-IATI-EC_INTPA-2019-PCC-410047,17091000,17091000.000000004,4
XI-IATI-EC_INTPA-2019-PCC-410060,165668760,0,0
XI-IATI-EC_INTPA-2019-PCC-412775,1382661.9000000001,1244395.71,4
XI-IATI-EC_INTPA-2019-PCC-413519,32358960,0,0
XI-IATI-EC_INTPA-2019-PCC-413599,9912780,0,0
XI-IATI-EC_INTPA-2019-PCC-413782,56970000,0,0
XI-IATI-EC_INTPA-2019-PCC-413820,2278800,1879227.733536,3
XI-IATI-EC_INTPA-2019-PCC-414050,2585308.8546,2326777.96914,5
XI-IATI-EC_INTPA-2020-ACT-D-38561-00,22788000,0,0
XI-IATI-EC_INTPA-2020-ACT-D-38966-00,22788000,0,0
XI-IATI-EC_INTPA-2020-ACT-D-40118-00,34182000,0,0
XI-IATI-EC_INTPA-2020-ACT-D-40138-00,43297200,0,0
XI-IATI-EC_INTPA-2020-ACT-D-40387-00,39879000,0,0
XI-IATI-EC_INTPA-2020-ACT-D-40898-00,161794800,0,0
XI-IATI-EC_INTPA-2020-ACT-D-41754-00,45576000,0,0
XI-IATI-EC_INTPA-2020-ACT-D-41871-00,5127300,0,0
XI-IATI-EC_INTPA-2020-ACT-D-42335-00,24793344,0,0
XI-IATI-EC_INTPA-2020-ACT-D-42401-00,51273000,0,0
XI-IATI-EC_INTPA-2020-ACT-D-42454-00,11394000,0,0
XI-IATI-EC_INTPA-2020-ACT-D-42802-00,34182000,0,0
XI-IATI-EC_INTPA-2020-ACT-D-42916-00,9001260,0,0
XI-IATI-EC_INTPA-2020-ACT-D-42950-01,15951600,0,0
XI-IATI-EC_INTPA-2020-PCC-414217,31903200,0,0
XI-IATI-EC_INTPA-2020-PCC-415467,8089740,8089740,4
XI-IATI-EC_INTPA-2020-PCC-415584,30194100,16521300,4
XI-IATI-EC_INTPA-2020-PCC-415725,48994200,0,0
XI-IATI-EC_INTPA-2020-PCC-416008,3789076.1926140003,1515630.472488,3
XI-IATI-EC_INTPA-2020-PCC-416065,7121250,6683116.255938,4
XI-IATI-EC_INTPA-2020-PCC-416132,7064280,9122276.8134,4
XI-IATI-EC_INTPA-2020-PCC-416217,26775900,0,0
XI-IATI-EC_INTPA-2020-PCC-416581,3418200,3418189.7454000004,3
XI-IATI-EC_INTPA-2020-PCC-417520,888732,660852,1
XI-IATI-EC_INTPA-2020-PCC-418122,3543534,708706.8,1
XI-IATI-EC_INTPA-2020-PCC-418161,2278800,2050920,4
XI-IATI-EC_INTPA-2020-PCC-418930,8431560,8430964.538166001,4
XI-IATI-EC_INTPA-2020-PCC-419898,7404704.235000001,0,0
XI-IATI-EC_INTPA-2020-PCC-420650,23927400,0,0
XI-IATI-EC_INTPA-2020-PCC-421284,5697000,5697000,1
XI-IATI-EC_INTPA-2020-PCC-421423,17888580,0,0
XI-IATI-EC_INTPA-2020-PCC-422215,2050920,1845828.0000000002,2
XI-IATI-EC_INTPA-2020-PCC-422462,6378970.779,6336989.118846,4
XI-IATI-EC_INTPA-2020-PCC-422494,6897927.600000001,0,0
XI-IATI-EC_INTPA-2021-ACT-60903,102546000,0,0
XI-IATI-EC_INTPA-2021-ACT-60930,85455000,0,0
XI-IATI-EC_INTPA-2021-ACT-60933,39879000,0,0
XI-IATI-EC_INTPA-2021-ACT-60940,20395260,0,0
XI-IATI-EC_INTPA-2021-ACT-61001,36460800,0,0
XI-IATI-EC_INTPA-2021-ACT-61065,45576000,0,0
XI-IATI-EC_INTPA-2021-ACT-61069,45234180,0,0
XI-IATI-EC_INTPA-2021-ACT-61078,17091000,0,0
XI-IATI-EC_INTPA-2021-ACT-61083,0,0,0
XI-IATI-EC_INTPA-2021-ACT-61086,222183000,0,0
XI-IATI-EC_INTPA-2021-ACT-61090,78618600,0,0
XI-IATI-EC_INTPA-2021-ACT-61100,15381900,0,0
XI-IATI-EC_INTPA-2021-ACT-61102,68364000,0,0
XI-IATI-EC_INTPA-2021-ACT-61104,9115200,0,0
XI-IATI-EC_INTPA-2021-ACT-61116,113940000,0,0
XI-IATI-EC_INTPA-2021-ACT-61120,11394000,0,0
XI-IATI-EC_INTPA-2021-ACT-61121,79758000,0,0
XI-IATI-EC_INTPA-2021-ACT-61472,67053690,0,0
XI-IATI-EC_INTPA-2021-ACT-61633,11394000,0,0
XI-IATI-EC_INTPA-2021-ACT-62292,21420720,0,0
XI-IATI-EC_INTPA-2021-ACT-62317,13672800,0,0
XI-IATI-EC_INTPA-2021-ACT-62518,71782200,0,0
XI-IATI-EC_INTPA-2021-ACT-62576,50133600,0,0
XI-IATI-EC_INTPA-2021-ACT-62577,19369800,0,0
XI-IATI-EC_INTPA-2021-ACT-62696,23243760,0,0
XI-IATI-EC_INTPA-2021-ACT-62771,29168640,0,0
XI-IATI-EC_INTPA-2021-ACT-62799,10026720,0,0
XI-IATI-EC_INTPA-2021-ACT-62976,45576000,0,0
XI-IATI-EC_INTPA-2021-ACT-63055,34182000,0,0
XI-IATI-EC_INTPA-2021-ACT-63091,11394000,0,0
XI-IATI-EC_INTPA-2021-ACT-63101,20509200,0,0
XI-IATI-EC_INTPA-2021-ACT-63136,22788000,0,0
XI-IATI-EC_INTPA-2021-ACT-63169,45576000,0,0
XI-IATI-EC_INTPA-2021-ACT-63421,77479200,0,0
XI-IATI-EC_INTPA-2021-PC-1116,640599.165,128119.83300000001,1
XI-IATI-EC_INTPA-2021-PC-1163,1022242.3344,204448.46688000002,1
XI-IATI-EC_INTPA-2021-PC-4857,1123617.840174,204219.2196,1
XI-IATI-EC_INTPA-2021-PC-5303,317550.78,63510.156,1
XI-IATI-EC_INTPA-2021-PC-7879,177943.5162,71177.40648,1
XI-IATI-EC_INTPA-2021-PCC-417549,266965.97760000004,106786.39104000002,1
XI-IATI-EC_INTPA-2021-PCC-419116,10368540,9690224.4162,4
XI-IATI-EC_INTPA-2021-PCC-421490,1709100,1538190,3
XI-IATI-EC_INTPA-2021-PCC-422434,99583.56000000001,39833.424,1
XI-IATI-EC_INTPA-2021-PCC-422992,5241240,5798194.796934,2
XI-IATI-EC_INTPA-2021-PCC-423353,3646080,4209088.850712,4
XI-IATI-EC_INTPA-2021-PCC-424359,10425510,10425510,4
XI-IATI-EC_INTPA-2021-PCC-425135,7975800,7975800,4
XI-IATI-EC_INTPA-2021-PCC-425265,2962440,3318122.806344,3
XI-IATI-EC_INTPA-2021-PCC-425462,13672800,0,0
XI-IATI-EC_INTPA-2021-PCC-426286,2180002.626,290716.77059999993,1
XI-IATI-EC_INTPA-2021-PCC-427166,2278800,1972358.096544,2
XI-IATI-EC_INTPA-2021-PCC-427597,3703050,0,0
XI-IATI-EC_INTPA-2021-PCC-428224,21078900,0,0
XI-IATI-EC_INTPA-2021-PCC-428501,22788000,0,0
XI-IATI-EC_INTPA-2021-PCC-428606,319032,272240.738748,2
XI-IATI-EC_INTPA-2021-PCC-428618,279641.62029600004,282274.91042400006,3
XI-IATI-EC_INTPA-2021-PCC-428633,22788000,0,0
XI-IATI-EC_INTPA-2021-PCC-429309,630737.658,581967.9198,2
XI-IATI-EC_INTPA-2021-PCC-429840,410184,346651.238304,3
XI-IATI-EC_INTPA-2021-PCC-429957,1481220,756863.7119100001,2
XI-IATI-EC_INTPA-2021-PCC-430941,6836400,0,0
XI-IATI-EC_INTPA-2022-ACT-60558,35321400,0,0
XI-IATI-EC_INTPA-2022-ACT-60599,9115200,0,0
XI-IATI-EC_INTPA-2022-ACT-60628,59248800,0,0
XI-IATI-EC_INTPA-2022-ACT-60636,5127300,0,0
XI-IATI-EC_INTPA-2022-ACT-60692,10824300,0,0
XI-IATI-EC_INTPA-2022-ACT-60736,2848500,0,0
XI-IATI-EC_INTPA-2022-ACT-60909,7178220,0,0
XI-IATI-EC_INTPA-2022-ACT-60961,56970000,0,0
XI-IATI-EC_INTPA-2022-ACT-60987,10596420,0,0
XI-IATI-EC_INTPA-2022-ACT-61240,77479200,0,0
XI-IATI-EC_INTPA-2022-ACT-61302,5264028,0,0
XI-IATI-EC_INTPA-2022-ACT-61306,68364000,0,0
XI-IATI-EC_INTPA-2022-ACT-61310,18230400,0,0
XI-IATI-EC_INTPA-2022-ACT-61423,30763800,0,0
XI-IATI-EC_INTPA-2022-ACT-61433,36346860,0,0
XI-IATI-EC_INTPA-2022-ACT-61446,35435340,0,0
XI-IATI-EC_INTPA-2022-ACT-61483,11963700,0,0
XI-IATI-EC_INTPA-2022-ACT-61489,14812200,0,0
XI-IATI-EC_INTPA-2022-ACT-61496,45576000,0,0
XI-IATI-EC_INTPA-2022-ACT-61508,84030750,0,0
XI-IATI-EC_INTPA-2022-ACT-D-44448-00,28485000,0,0
XI-IATI-EC_INTPA-2022-ACT-D-44510-00,22788000,0,0
XI-IATI-EC_INTPA-2022-PC-15528,30763800,0,0
XI-IATI-EC_INTPA-2022-PC-15588,70642800,0,0
XI-IATI-EC_INTPA-2022-PC-15602,31903200,0,0
XI-IATI-EC_INTPA-2022-PC-15913,27345600,0,0
XI-IATI-EC_INTPA-2022-PC-16482,6836400,0,0
XI-IATI-EC_INTPA-2022-PC-16632,5127300,5127300,4
XI-IATI-EC_INTPA-2022-PC-16749,530162.8200000001,106032.564,1
XI-IATI-EC_INTPA-2022-PC-16758,44436600,0,0
XI-IATI-EC_INTPA-2022-PC-16925,1105085.8296,1105085.8296,1
XI-IATI-EC_INTPA-2022-PC-17800,65831398.65,0,0
XI-IATI-EC_INTPA-2022-PC-18559,8545500,0,0
XI-IATI-EC_INTPA-2022-PC-18569,23357700,0,0
XI-IATI-EC_INTPA-2022-PC-19577,6836400,6838115.0505,4
XI-IATI-EC_INTPA-2022-PC-19819,59248800,0,0
XI-IATI-EC_INTPA-2022-PC-20222,15381900,0,0
XI-IATI-EC_INTPA-2022-PC-21486,1139400,1025460,2
XI-IATI-EC_INTPA-2022-PC-21502,153819000,0,0
XI-IATI-EC_INTPA-2022-PC-21515,113256.36,45302.544,1
XI-IATI-EC_INTPA-2022-PC-21579,415256.69995200005,391553.44272000005,3
XI-IATI-EC_INTPA-2022-PC-21817,2050920,1910607.003234,2
XI-IATI-EC_INTPA-2022-PC-22100,754010.4834,754010.4834,1
XI-IATI-EC_INTPA-2022-PC-22890,678284.8200000001,651129.8416200001,1
XI-IATI-EC_INTPA-2022-PC-23195,11394000,7549604.0118,2
XI-IATI-EC_INTPA-2022-PC-23770,7406100,5770909.28889,4
XI-IATI-EC_INTPA-2022-PC-24289,21677085,0,0
XI-IATI-EC_INTPA-2022-PC-24334,11929518,0,0
XI-IATI-EC_INTPA-2022-PC-24537,7577010,0,0
XI-IATI-EC_INTPA-2022-PC-24576,15154020,0,0
XI-IATI-EC_INTPA-2022-PCC-421392,4557600,4546131.266754,3
XI-IATI-EC_INTPA-2022-PCC-428966,2848500,2529328.3804,3
XI-IATI-EC_INTPA-2022-PCC-429583,137867400,0,0
XI-IATI-EC_INTPA-2022-PCC-429800,6233942.25,0,0
XI-IATI-EC_INTPA-2022-PCC-431645,981882.7354800001,180275.86800000002,1
XI-IATI-EC_INTPA-2022-PCC-435740,13672800,0,0
XI-IATI-EC_INTPA-2022-PCC-436209,0,0,0
XI-IATI-EC_INTPA-2023-ACT-60734,35321400,0,0
XI-IATI-EC_INTPA-2023-ACT-60983,125334000,0,0
XI-IATI-EC_INTPA-2023-ACT-61233,102546000,0,0
XI-IATI-EC_INTPA-2023-ACT-61294,40981421.28573,0,0
XI-IATI-EC_INTPA-2023-ACT-61325,34182000,0,0
XI-IATI-EC_INTPA-2023-ACT-61606,14584320,0,0
XI-IATI-EC_INTPA-2023-ACT-61699,38739600,0,0
XI-IATI-EC_INTPA-2023-ACT-61724,45576000,0,0
XI-IATI-EC_INTPA-2023-ACT-61732,64945800,0,0
XI-IATI-EC_INTPA-2023-ACT-61831,16179480,0,0
XI-IATI-EC_INTPA-2023-ACT-61846,45576000,0,0
XI-IATI-EC_INTPA-2023-ACT-61862,22788000,0,0
XI-IATI-EC_INTPA-2023-ACT-61863,68364000,0,0
XI-IATI-EC_INTPA-2023-ACT-61910,25636500,0,0
XI-IATI-EC_INTPA-2023-ACT-62014,56970000,0,0
XI-IATI-EC_INTPA-2023-ACT-62246,81182250,0,0
XI-IATI-EC_INTPA-2023-PC-16929,3987672.12,797534.424,1
XI-IATI-EC_INTPA-2023-PC-18126,2073708,278013.60000000003,1
XI-IATI-EC_INTPA-2023-PC-18143,206385.10506,0,0
XI-IATI-EC_INTPA-2023-PC-18768,2278800,2050920,2
XI-IATI-EC_INTPA-2023-PC-19168,1749828.9923999999,1749828.9924,1
XI-IATI-EC_INTPA-2023-PC-19387,879776.316,175955.26320000002,1
XI-IATI-EC_INTPA-2023-PC-20001,455700.75120000006,455700.7512,1
XI-IATI-EC_INTPA-2023-PC-20035,396250.72176600003,396250.72176600003,1
XI-IATI-EC_INTPA-2023-PC-20039,369447.0318,369447.0318,1
XI-IATI-EC_INTPA-2023-PC-21484,973275.4800000001,194655.09600000002,1
XI-IATI-EC_INTPA-2023-PC-22049,462026.7,106448.445,2
XI-IATI-EC_INTPA-2023-PC-22492,1779763.1382900001,1166852.7036000001,1
XI-IATI-EC_INTPA-2023-PC-23130,5144220.09,341820,1
XI-IATI-EC_INTPA-2023-PC-23134,5440635,4394302.3314000005,3
XI-IATI-EC_INTPA-2023-PC-23139,51273000,0,0
XI-IATI-EC_INTPA-2023-PC-23354,36005040,0,0
XI-IATI-EC_INTPA-2023-PC-24210,36346860,0,0
XI-IATI-EC_INTPA-2023-PC-24213,35435340,0,0
XI-IATI-EC_INTPA-2023-PC-24294,45291150,0,0
XI-IATI-EC_INTPA-2023-PC-24360,9115200,6783159.4566,4
XI-IATI-EC_INTPA-2023-PC-25042,8545500,4557600,3
XI-IATI-EC_INTPA-2023-PC-25043,765676.8,306270.72000000003,1
XI-IATI-EC_INTPA-2023-PC-25058,2278800,0,0
XI-IATI-EC_INTPA-2023-PC-25140,225764.1342,90305.65368,1
XI-IATI-EC_INTPA-2023-PC-25147,17091000,0,0
XI-IATI-EC_INTPA-2023-PC-25426,25066800,15349422.918402001,3
XI-IATI-EC_INTPA-2023-PC-25538,29624400,0,0
XI-IATI-EC_INTPA-2023-PC-25625,5264028,0,0
XI-IATI-EC_INTPA-2023-PC-25655,4215780,0,0
XI-IATI-EC_INTPA-2023-PC-25701,45576000,0,0
XI-IATI-EC_INTPA-2023-PC-25713,5697000,1970767.7676000001,2
XI-IATI-EC_INTPA-2023-PC-25850,68364000,0,0
XI-IATI-EC_INTPA-2023-PC-26026,2749351.6908,423546.88320000004,1
XI-IATI-EC_INTPA-2023-PC-26198,3418200,2695929.577308,1
XI-IATI-EC_INTPA-2023-PC-26203,11394000,0,0
XI-IATI-EC_INTPA-2023-PC-26293,12191580,0,0
XI-IATI-EC_INTPA-2023-PC-26364,30592890,0,0
XI-IATI-EC_INTPA-2023-PC-26380,22788000,0,0
XI-IATI-EC_INTPA-2023-PC-26411,34182000,0,0
XI-IATI-EC_INTPA-2023-PC-26483,1139400,871235.476146,1
XI-IATI-EC_INTPA-2023-PC-26579,36460800,0,0
XI-IATI-EC_INTPA-2023-PC-26617,3492729.2934,1911396.220038,2
XI-IATI-EC_INTPA-2023-PC-26647,1139400,959185.705661,2
XI-IATI-EC_INTPA-2023-PC-26837,33954120,0,0
XI-IATI-EC_INTPA-2023-PC-26888,12533400,0,0
