iatiidentifier,donor_ref,donor,org_type,x1_donor_type,a01,a02,modality,declared_activity,declared_transaction,status_code,status_name,recipient_main,commitment_usd,disbursement_usd,n_disb_years,first_disb_year,last_disb_year,planned_start,actual_start,planned_end,actual_end,y2_early_days,planned_duration_days,commitment_usd_full,disbursement_usd_full,n_disb_years_full,finance_type,finance_type_name,flow_type,flow_type_name,collaboration_type,collaboration_type_name,hierarchy,cp_eligible,complete_flag,y1_gap,y1_gap_full,y2_early_days_raw,log_commitment,log_disbursement
44000-P169822,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,EC,500000000,500000000,1,2019,2019,2019-06-11,2019-06-11,2019-12-31,2019-12-31,0,203,500000000,500000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0,0,0,20.030118656386467,20.030118656386467
44000-P171190,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,EC,500000000,500000000,1,2020,2020,2020-05-19,2020-05-07,2020-12-31,2020-12-31,0,226,500000000,500000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0,0,0,20.030118656386467,20.030118656386467
44000-P174115,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,EC,500000000,500000000,1,2020,2020,2020-10-20,2020-11-24,2021-12-31,2021-12-31,0,437,500000000,500000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0,0,0,20.030118656386467,20.030118656386467
44000-P176983,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,EC,700000000,700000000,1,2022,2022,2022-03-31,2022-02-01,2023-01-31,2023-01-31,0,306,700000000,700000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0,0,0,20.36659089300768,20.36659089300768
44000-P178636,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,EC,500000000,500000000,1,2022,2023,2022-10-14,2022-12-06,2023-12-15,2023-12-15,0,427,500000000,500000000,2,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0,0,0,20.030118656386467,20.030118656386467
44000-P180319,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,EC,500000000,500000000,1,2023,2023,2023-07-31,2023-08-04,2024-12-31,2024-12-31,0,519,500000000,500000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0,0,0,20.030118656386467,20.030118656386467
44000-P505747,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,EC,NA,NA,NA,NA,NA,2024-07-31,2024-07-31,2025-12-31,2025-12-31,0,518,700000000,700000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,NA,0,0,20.36659089300768,20.36659089300768
44000-P510158,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,2,Implementation,EC,NA,NA,NA,NA,NA,2025-11-27,2025-11-26,2028-12-31,2028-12-31,0,1130,200000000,0,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,NA,1,0,19.11382792451231,NA
44000-P512397,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,2,Implementation,EC,NA,NA,NA,NA,NA,2025-11-26,2025-11-26,2026-12-31,2026-12-31,0,400,900000000,900000000,2,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,NA,0,0,20.617905321288585,20.617905321288585
44000-P155425,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,DO,60000000,60000000,1,2015,2015,2015-12-07,2015-11-04,2017-06-30,2017-06-30,0,571,60000000,60000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0,0,0,17.909855120186375,17.909855120186375
44000-P159351,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,DO,150000000,150000000,1,2017,2020,2017-04-27,2017-09-28,2021-02-28,2021-02-28,0,1403,150000000,150000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0,0,0,18.82614585206053,18.82614585206053
44000-P174145,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,DO,100000000,100000000,1,2020,2020,2020-05-29,2020-06-26,2021-03-31,2021-03-31,0,306,100000000,100000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0,0,0,18.420680743952367,18.420680743952367
44000-P175874,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,DO,400000000,400000000,1,2022,2023,2021-03-31,2022-03-31,2023-09-30,2023-09-30,0,913,400000000,400000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0,0,0,19.806975105072254,19.806975105072254
44000-P178122,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,2,Implementation,DO,230000000,0,0,NA,NA,2022-03-31,2022-12-02,2029-01-15,2029-01-15,0,2482,230000000.00000003,1722125.0000000002,2,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,1,0.9925125,0,19.25358986688747,14.3590695513469
44000-P178570,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,DO,400000000,0,0,NA,NA,2023-03-31,2023-05-26,2024-06-28,2024-06-28,0,455,400000000,400000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,1,0,0,19.806975105072254,19.806975105072254
44000-P500557,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,DO,NA,NA,NA,NA,NA,2024-06-07,2024-06-07,2025-12-31,2025-12-31,0,572,400000000,400000000,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,NA,0,0,19.806975105072254,19.806975105072254
44000-P112346,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,EG,0,100000000,1,2015,2015,2009-04-16,2009-09-24,2015-03-31,2015-03-31,0,2175,300000000,300000000,3,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,NA,0,0,19.519293032620475,19.519293032620475
