iatiidentifier,year,interrupted_flag,balance_owed,balance_share,disbursement_usd,commitment_usd,donor_ref,donor,x1_donor_type,modality,recipient_main,status_code,status_name,finance_type,flow_type,collaboration_type,finance_type_name,flow_type_name,collaboration_type_name,hierarchy,log_commitment,planned_duration_days,y2_early_days,y1_gap_full,s1_share,s2_hhi_net,s3_n_donors,cum_commit,disb_year,voice_account,corruption_ctrl,pol_stability,aid_dependence,gdp_pc,population,region,income_group,coup,coup_attempt,election_year,single_donor,log_gdp_pc,log_pop,net_degree,net_between,net_eigen,net_peers,net_peer_str
44000-P126580,2021,0,-500000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.37669130160609166,0.3885137334935082,2,4750000000,1082500000,-0.374633899999999,-0.5743865,-1.0935816,0.400624903864076,3484.38593882819,113100950,East Asia & Pacific,Upper middle income,0,0,0,0,8.156047106472293,18.543791340697403,59,0.6934502886604991,1,9,60
44000-P126580,2022,0,-500000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.3582257559071508,0.411874180380948,2,4750000000,720000000,-0.3442518,-0.5774689,-0.899042399999999,0.376911574705654,3548.06930572116,113964338,East Asia & Pacific,Upper middle income,0,0,1,0,8.17415887698197,18.551396132857555,62,0.6378585585115697,1,10,71
44000-P126580,2023,0,-500000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.3987181759014457,0.3494324470609756,3,7200000000,1647500000,-0.363659,-0.5690313,-0.709066,0.379972081131524,3804.08274131718,114891199,East Asia & Pacific,Upper middle income,0,0,0,0,8.243830174563634,18.559496142844377,65,0.6275509997946984,1,10,88
44000-P126583,2020,0,-250000000,NA,250000000,0,44000,EN: World Bank,Multilateral,A02_sector,CO,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.33697147582652,3371,0,0,0.5538209207281448,0.19186229174858033,3,7018500000,1350000000,0.0627933,-0.256463899999999,-0.6819314,0.698331914308264,5339.68711357943,50629997,Latin America & Caribbean,Upper middle income,0,0,0,0,8.582922337274953,17.740054784692685,73,0.650701274355751,1,10,98
44000-P127332,2014,0,0,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PA,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.420680743952367,816,0,0,0,1,2,0,200000000,0.4491062,-0.3942406,0.2814967,-0.410547283224367,13213.1989637473,3892101,Latin America & Caribbean,High income,0,0,1,0,9.488971530481976,15.174459672619356,40,0.817440095789378,1,10,31
44000-P127408,2015,0,-1458113,-0.01458113,101458113,100000000,44000,EN: World Bank,Multilateral,A02_sector,RS,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.420680743952367,1302,0,-0.01458113000000005,0.5231438854942664,0.22739175394150535,2,100000000,101458113,0.1127889,-0.3238735,0.2787874,0.791939226797719,5820.3215576888,7095383,Europe & Central Asia,Upper middle income,0,0,0,0,8.669110789661225,15.77495484879656,49,0.7217810348079607,1,11,60
44000-P127411,2014,0,-65514,-0.00422670967741935,15565513.999999998,15499999.999999998,44000,EN: World Bank,Multilateral,A02_sector,CV,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,16.556350581889475,1492,0,-0.00422670967741933,0.475591287703531,0.27500449753244094,2,15499999.999999998,15565513.999999998,0.7736703,0.8877993,0.6455106,11.8704810467601,3985.60706548134,512326,Sub-Saharan Africa,Upper middle income,0,0,0,0,8.290444917258588,13.146716420152265,40,0.817440095789378,1,10,31
44000-P127665,2014,0,4697500,0.02271518375241779,202102500,206800000,44000,EN: World Bank,Multilateral,A02_sector,HR,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.14726270059855,577,0,0.02271518375241776,1,NA,1,206800000,202102500,0.5360017,0.1153811,0.6331008,NA,14186.7712230471,4201598,Europe & Central Asia,High income,0,0,1,1,9.560065205365872,15.250975487081362,40,0.817440095789378,1,10,31
44000-P128258,2014,0,-3789088,-0.00631514666666666,603789088,600000000,44000,EN: World Bank,Multilateral,A02_sector,PK,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.21244021318042,586,0,-0.00631514666666666,0.6628383531700249,0.07548453788220966,3,1000000000,1006196038,-0.8714681,-1.0043761,-2.46216149999999,1.35203538752693,1266.61340849959,214264647,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,7.144102010241037,19.182722477166124,40,0.817440095789378,1,10,31
44000-P129652,2014,0,0,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,BR,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.82614585206053,678,0,0,1,0,2,896000000,1015375000,0.4250488,-0.2351787,-0.2414052,0.0379272383486773,12274.9939689363,200085127,Latin America & Caribbean,Upper middle income,0,0,1,0,9.415319461333585,19.11425346895543,40,0.817440095789378,1,10,31
