donor_ref,year,net_degree,net_between,net_eigen,net_peers,net_peer_str
44000,2017,38,0.595952151362322,1,11,45
AU-5,2017,3,0.005265414055321404,0.04601478389473156,3,5
CA-3,2017,4,0.013693814458369941,0.07183368988364719,6,8
DE-1,2017,3,0.026393231943111568,0.027927507865918404,4,4
FI-3,2017,1,0,0.013421966491602126,2,2
GB-GOV-1,2017,3,0.006871345631062653,0.0733861006440871,4,6
XI-IATI-EC_INTPA,2017,15,0.14447855551701108,0.3348557141089152,8,24
XI-IATI-EC_NEAR,2017,5,0.014329283199826964,0.12596649610304472,5,10
XI-IATI-IADB,2017,12,0.14399771190246488,0.1269897820660596,4,8
XM-DAC-46002,2017,21,0.20040431598591485,0.48010381104541033,8,27
XM-DAC-46004,2017,22,0.26172442799439727,0.3331189760313907,5,17
XM-DAC-6-4,2017,11,0.1192243297229811,0.18343447522501388,9,17
XM-DAC-7,2017,1,0,0.0367127661421898,3,3
44000,2018,42,0.5413065850651381,1,8,45
AU-5,2018,3,0.0017253018478768512,0.03185731356691958,3,5
CA-3,2018,3,0.0019691173879828753,0.06293592716151443,5,7
DE-1,2018,5,0.016089369317629488,0.10624381109973732,7,11
FI-3,2018,1,0,7.061116878115147e-18,0,0
GB-GOV-1,2018,4,0.013262119859148418,0.06542546819263448,4,6
XI-IATI-EC_INTPA,2018,19,0.20510717599186432,0.3019381896853789,8,25
XI-IATI-EC_NEAR,2018,3,0.03854875283446712,0.007882762866340003,1,1
XI-IATI-IADB,2018,15,0.1473789220838481,0.1539709056863842,3,10
XM-DAC-46002,2018,20,0.19785754488269536,0.4078284705311421,7,24
XM-DAC-46004,2018,26,0.2595988600979896,0.4027014168965728,5,20
XM-DAC-6-4,2018,6,0.031289419050242365,0.13815117999955728,7,14
XM-DAC-69-1,2018,1,0,4.7372557750317235e-18,0,0
44000,2019,53,0.6409087280099744,1,12,59
AU-5,2019,2,6.843595518581936e-4,0.027612681388087465,2,3
CA-3,2019,2,2.231010613198975e-4,0.03708272675197809,4,5
DE-1,2019,3,0.0030687941950362173,0.048316971563738056,6,8
FI-3,2019,3,0.040229358254977664,0.027348938444232446,5,6
GB-GOV-1,2019,2,7.725274234857721e-4,0.02793444597536735,3,4
NO-BRC-971277882,2019,1,0,0.021416382823243117,3,3
NZ-1,2019,1,0,0,0,0
XI-IATI-EC_INTPA,2019,22,0.19837698009758564,0.2864290571582425,7,28
XI-IATI-EC_NEAR,2019,6,0.02248986254320933,0.07755778688874218,5,9
XI-IATI-IADB,2019,16,0.12200426834712469,0.13094563471636522,3,13
XM-DAC-46002,2019,21,0.12154897064301041,0.3423206354654661,7,29
XM-DAC-46004,2019,28,0.22096398699621353,0.4189385326439867,5,24
XM-DAC-6-4,2019,7,0.04717378162069397,0.08190955450851475,7,14
XM-DAC-69-1,2019,1,0,4.048146203475918e-4,1,1
44000,2020,73,0.650701274355751,1,10,98
AU-5,2020,2,4.3710114520500044e-5,0.02565317449794028,2,4
CA-3,2020,2,3.0849355813401065e-4,0.030660342659330878,6,7
DE-1,2020,2,3.0849355813401065e-4,0.030660342659330878,6,7
GB-GOV-1,2020,3,0.016207866571753275,0.029802870045305185,3,5
XI-IATI-EC_INTPA,2020,30,0.15044506338170124,0.39541181747691795,8,51
XI-IATI-EC_NEAR,2020,11,0.05503431746243816,0.09577119529888783,5,13
XI-IATI-IADB,2020,18,0.0930230878362281,0.15816334299191695,3,17
