iso2,iso3,year,coup,coup_attempt,election_year
SN,SEN,2015,0,0,0
SN,SEN,2016,0,0,0
SN,SEN,2017,0,0,1
SN,SEN,2018,0,0,0
SN,SEN,2019,0,0,1
SN,SEN,2020,0,0,0
SN,SEN,2021,0,0,0
SN,SEN,2022,0,0,1
SN,SEN,2023,0,0,0
SN,SEN,2024,0,0,1
SN,SEN,2025,0,0,0
SS,SSD,2014,0,0,0
SS,SSD,2015,0,0,0
SS,SSD,2016,0,0,0
SS,SSD,2017,0,0,0
SS,SSD,2018,0,0,0
SS,SSD,2019,0,0,0
SS,SSD,2020,0,0,0
SS,SSD,2021,0,0,0
SS,SSD,2022,0,0,0
SS,SSD,2023,0,0,0
SS,SSD,2024,0,0,0
SS,SSD,2025,0,0,0
SD,SDN,2014,0,0,0
SD,SDN,2015,0,0,1
SD,SDN,2016,0,0,0
SD,SDN,2017,0,0,0
SD,SDN,2018,0,0,0
SD,SDN,2019,1,1,0
SD,SDN,2020,0,0,0
SD,SDN,2021,1,1,0
SD,SDN,2022,0,0,0
SD,SDN,2023,0,1,0
SD,SDN,2024,0,0,0
SD,SDN,2025,0,0,0
VN,VNM,2014,0,0,0
VN,VNM,2015,0,0,0
VN,VNM,2016,0,0,1
VN,VNM,2017,0,0,0
VN,VNM,2018,0,0,0
VN,VNM,2019,0,0,0
VN,VNM,2020,0,0,0
VN,VNM,2021,0,0,1
VN,VNM,2022,0,0,0
VN,VNM,2023,0,0,0
VN,VNM,2024,0,0,0
VN,VNM,2025,0,0,0
AF,AFG,2014,0,0,1
AF,AFG,2015,0,0,0
AF,AFG,2016,0,0,0
AF,AFG,2017,0,0,0
AF,AFG,2018,0,0,1
AF,AFG,2019,0,0,1
AF,AFG,2020,0,0,0
AF,AFG,2021,0,0,0
AF,AFG,2022,0,0,0
AF,AFG,2023,0,0,0
AF,AFG,2024,0,0,0
AF,AFG,2025,0,0,0
AR,ARG,2014,0,0,0
AR,ARG,2015,0,0,1
AR,ARG,2016,0,0,0
AR,ARG,2017,0,0,1
AR,ARG,2018,0,0,0
AR,ARG,2019,0,0,1
AR,ARG,2020,0,0,0
AR,ARG,2021,0,0,1
AR,ARG,2022,0,0,0
